Asset_ID,File_Name,Full_Path,Extension,Category,Size,Create_Time,Modify_Time,SHA256,Status
FA-000001,init_Football_AI_OS_v1.ps1,E:\football_v\init_Football_AI_OS_v1.ps1,.ps1,CODE,1598,2026-07-18T16:29:35.806200,2026-07-18T16:30:05.086522,4f962e1befb05ea43511e2c0c40fc4664d913f49274c65d20e9893fbfe4e6f96,REGISTERED
FA-000002,file_manager.yaml,E:\football_v\00_System_OS\File_Manager\config\file_manager.yaml,.yaml,CONFIG,0,2026-07-18T16:41:19.728046,2026-07-18T16:41:19.728046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000003,file_registry.json,E:\football_v\00_System_OS\File_Manager\registry\file_registry.json,.json,DATA,0,2026-07-18T16:41:19.728046,2026-07-18T16:41:19.728046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000004,duplicate_report.csv,E:\football_v\00_System_OS\File_Manager\reports\duplicate_report.csv,.csv,DATA,0,2026-07-18T16:41:19.743637,2026-07-18T16:41:19.743637,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000005,file_inventory.csv,E:\football_v\00_System_OS\File_Manager\reports\file_inventory.csv,.csv,DATA,0,2026-07-18T16:41:19.743637,2026-07-18T16:41:19.743637,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000006,lifecycle_report.csv,E:\football_v\00_System_OS\File_Manager\reports\lifecycle_report.csv,.csv,DATA,0,2026-07-18T16:41:19.743637,2026-07-18T16:41:19.743637,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000007,file_manager_state.json,E:\football_v\00_System_OS\File_Manager\runtime\file_manager_state.json,.json,DATA,0,2026-07-18T16:41:19.743637,2026-07-18T16:41:19.743637,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000008,file_scanner.py,E:\football_v\00_System_OS\File_Manager\scanner\file_scanner.py,.py,CODE,4062,2026-07-18T16:48:49.696241,2026-07-18T16:49:06.648484,fca86e66a9037dc3d8313ac1c10ae7dfb12d08e9141da3ddc7f715cbae9df8f7,REGISTERED
FA-000009,module_registry.json,E:\football_v\00_System_OS\registry\module_registry.json,.json,DATA,0,2026-07-18T16:30:38.140491,2026-07-18T16:30:38.140491,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000010,system_state.json,E:\football_v\00_System_OS\runtime\system_state.json,.json,DATA,0,2026-07-18T16:30:38.128546,2026-07-18T16:30:38.128546,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000011,system_version.yaml,E:\football_v\Config\system_version.yaml,.yaml,CONFIG,0,2026-07-18T16:30:38.140491,2026-07-18T16:30:38.140491,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000012,README.md,E:\football_v\Documentation\README.md,.md,UNKNOWN,0,2026-07-18T16:30:38.140491,2026-07-18T16:30:38.140491,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000013,system.log,E:\football_v\Logs\system.log,.log,UNKNOWN,0,2026-07-18T16:30:38.173863,2026-07-18T16:30:38.173863,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,REGISTERED
FA-000014,create_file_manager.ps1,E:\football_v\Scripts\create_file_manager.ps1,.ps1,CODE,1037,2026-07-18T16:36:53.403621,2026-07-18T16:38:26.116912,a68c2abd7b6513c8e431e87bb062b6f5aa8b2ca9df84869cb2e27866a0cbd467,REGISTERED
