Original_Path,Original_Name,New_Name,Action,Reason,Validation_Time
E:\football_v\.pytest_cache,.pytest_cache,TEMP_.pytest_cache,RENAME,Temporary asset,2026-07-25 14:08:51.904421
E:\football_v\106_REAL_ODDS_HISTORY_ENGINE,106_REAL_ODDS_HISTORY_ENGINE,ARCHIVE_106_REAL_ODDS_HISTORY_ENGINE,RENAME,Historical asset,2026-07-25 14:08:51.904421
E:\football_v\146_HISTORY_CONVERSATION_STORE,146_HISTORY_CONVERSATION_STORE,ARCHIVE_146_HISTORY_CONVERSATION_STORE,RENAME,Historical asset,2026-07-25 14:08:51.904421
E:\football_v\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.904421
E:\football_v\legacy_delete_check.py,legacy_delete_check.py,ARCHIVE_legacy_delete_check.py,RENAME,Historical asset,2026-07-25 14:08:51.904421
E:\football_v\.pytest_cache\CACHEDIR.TAG,CACHEDIR.TAG,TEMP_CACHEDIR.TAG,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.pytest_cache\v\cache,cache,TEMP_cache,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,cache.py,TEMP_cache.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,cache.py,TEMP_cache.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,debug.py,TEMP_debug.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\cache.cpython-312.pyc,cache.cpython-312.pyc,TEMP_cache.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__pycache__\debug.cpython-312.pyc,debug.cpython-312.pyc,TEMP_debug.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
