Conflict_ID,Table_Name,A_Exists,B_Exists,A_Columns,B_Columns,A_Records,B_Records,A_Primary_Key,B_Primary_Key,Validation_Time
CONFLICT_DB_001,competitions,True,True,3,3,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,data_audit_report,True,True,5,5,17,17,,,2026-07-25 12:15:36.873360
CONFLICT_DB_001,data_update_log,True,True,5,5,1,1,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,database_registry,True,True,5,5,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,fixtures,True,True,9,9,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,leagues,True,True,4,4,0,0,league_id,league_id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,match_stats,True,True,5,5,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,matches,True,True,8,8,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,matches_clean,True,True,26,26,96305,96305,,,2026-07-25 12:15:36.873360
CONFLICT_DB_001,matches_full,True,True,26,26,96337,96337,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,model_registry,True,True,4,4,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,odds_history,True,True,13,13,139501,139501,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,odds_history_clean,True,True,13,13,139454,139454,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,runtime_log,True,True,3,3,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,seasons,True,True,3,3,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,sqlite_sequence,True,True,2,2,5,5,,,2026-07-25 12:15:36.873360
CONFLICT_DB_001,system_registry,True,True,5,5,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,teams,True,True,3,3,0,0,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,xg_match_history,True,True,16,16,40958,40958,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,xg_shot_history,True,True,20,20,515218,515218,id,id,2026-07-25 12:15:36.873360
CONFLICT_DB_001,xg_shot_history_clean,True,True,20,20,515217,515217,,,2026-07-25 12:15:36.873360
CONFLICT_DB_002,database_registry,True,False,5,,0,,id,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,dixon_coles_history,True,True,6,8,192610,96305,id,id,2026-07-25 12:15:36.994344
CONFLICT_DB_002,dixon_coles_rating,True,False,4,,556,,team,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,elo_history,True,True,6,7,192610,96305,id,id,2026-07-25 12:15:36.994344
CONFLICT_DB_002,fatigue_history,True,False,8,,192610,,id,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,fatigue_rating,True,True,7,7,556,96305,team,id,2026-07-25 12:15:36.994344
CONFLICT_DB_002,feature_vector,False,True,,6,,96305,,id,2026-07-25 12:15:36.994344
CONFLICT_DB_002,home_away_history,True,True,13,8,192610,96305,id,id,2026-07-25 12:15:36.994344
CONFLICT_DB_002,home_away_rating,True,False,20,,556,,team,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,model_registry,True,False,4,,0,,id,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,poisson_history,True,True,7,7,192610,96305,id,id,2026-07-25 12:15:36.994344
CONFLICT_DB_002,poisson_rating,True,False,6,,556,,id,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,runtime_log,True,False,3,,0,,id,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,sqlite_sequence,True,True,2,2,8,7,,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,system_registry,True,False,5,,0,,id,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,team_form,True,False,12,,556,,team,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,team_form_history,True,True,10,7,192610,96305,id,id,2026-07-25 12:15:36.994344
CONFLICT_DB_002,team_rating,True,False,2,,556,,team,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,xg_features_history,True,False,18,,32762,,id,,2026-07-25 12:15:36.994344
CONFLICT_DB_002,xg_features_temp,True,False,23,,41722,,,,2026-07-25 12:15:36.994344
CONFLICT_DB_003,database_registry,True,False,5,,0,,id,,2026-07-25 12:15:37.009972
CONFLICT_DB_003,dixon_coles_model,False,True,,4,,1,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,elo_model,False,True,,4,,1,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,fusion_model,False,True,,4,,1,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,model_data_registry,True,False,5,,8,,id,,2026-07-25 12:15:37.009972
CONFLICT_DB_003,model_registry,True,False,4,,0,,id,,2026-07-25 12:15:37.009972
CONFLICT_DB_003,model_version,False,True,,4,,0,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,model_weight,False,True,,4,,1,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,model_weight_history,False,True,,4,,0,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,poisson_model,False,True,,4,,1,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,prediction_feature_snapshot,False,True,,4,,0,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,prediction_history,False,True,,6,,2,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,prediction_result,False,True,,5,,0,,id,2026-07-25 12:15:37.009972
CONFLICT_DB_003,runtime_log,True,False,3,,0,,id,,2026-07-25 12:15:37.009972
