Table_Name,Current_Exists,Legacy_Exists,Current_Columns,Legacy_Columns,Current_Records,Legacy_Records,Asset_Status,Decision,Validation_Time
database_registry,True,False,5,,0,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
dixon_coles_history,True,True,6,8,192610,96305,BOTH_EXIST,PENDING,2026-07-25 12:58:03.936177
dixon_coles_rating,True,False,4,,556,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
elo_history,True,True,6,7,192610,96305,BOTH_EXIST,PENDING,2026-07-25 12:58:03.936177
fatigue_history,True,False,8,,192610,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
fatigue_rating,True,True,7,7,556,96305,BOTH_EXIST,PENDING,2026-07-25 12:58:03.936177
feature_vector,False,True,,6,,96305,LEGACY_ONLY,PENDING,2026-07-25 12:58:03.936177
home_away_history,True,True,13,8,192610,96305,BOTH_EXIST,PENDING,2026-07-25 12:58:03.936177
home_away_rating,True,False,20,,556,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
model_registry,True,False,4,,0,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
poisson_history,True,True,7,7,192610,96305,BOTH_EXIST,PENDING,2026-07-25 12:58:03.936177
poisson_rating,True,False,6,,556,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
runtime_log,True,False,3,,0,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
sqlite_sequence,True,True,2,2,8,7,BOTH_EXIST,PENDING,2026-07-25 12:58:03.936177
system_registry,True,False,5,,0,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
team_form,True,False,12,,556,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
team_form_history,True,True,10,7,192610,96305,BOTH_EXIST,PENDING,2026-07-25 12:58:03.936177
team_rating,True,False,2,,556,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
xg_features_history,True,False,18,,32762,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
xg_features_temp,True,False,23,,41722,,CURRENT_ONLY,PENDING,2026-07-25 12:58:03.936177
