Asset,Source,Asset_Type,Decision,Risk,Status,Validation_Time
database_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED,2026-07-25 13:01:43
model_data_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED,2026-07-25 13:01:43
model_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED,2026-07-25 13:01:43
runtime_log,CURRENT_MODEL_STORE,RUNTIME_ASSET,KEEP_CURRENT,LOW,APPROVED,2026-07-25 13:01:43
system_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED,2026-07-25 13:01:43
elo_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN,2026-07-25 13:01:43
dixon_coles_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN,2026-07-25 13:01:43
poisson_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN,2026-07-25 13:01:43
xgboost_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN,2026-07-25 13:01:43
fusion_model,LEGACY_MODEL_STORE,FUSION_MODEL,RETAIN,HIGH,FROZEN,2026-07-25 13:01:43
model_weight,LEGACY_MODEL_STORE,MODEL_PARAMETER,RETAIN,HIGH,FROZEN,2026-07-25 13:01:43
prediction_history,LEGACY_MODEL_STORE,PREDICTION_HISTORY,RETAIN,MEDIUM,FROZEN,2026-07-25 13:01:43
prediction_result,LEGACY_MODEL_STORE,PREDICTION_RESULT,RETAIN,MEDIUM,FROZEN,2026-07-25 13:01:43
