Table_Name,Current_Model_Store_Exists,Legacy_Model_Store_Exists,Current_Columns,Legacy_Columns,Current_Records,Legacy_Records,Asset_Status,Validation_Time
database_registry,True,False,5,,0,,CURRENT_ONLY,2026-07-25 12:19:01.129391
dixon_coles_model,False,True,,4,,1,LEGACY_ONLY,2026-07-25 12:19:01.129391
elo_model,False,True,,4,,1,LEGACY_ONLY,2026-07-25 12:19:01.129391
fusion_model,False,True,,4,,1,LEGACY_ONLY,2026-07-25 12:19:01.129391
model_data_registry,True,False,5,,8,,CURRENT_ONLY,2026-07-25 12:19:01.129391
model_registry,True,False,4,,0,,CURRENT_ONLY,2026-07-25 12:19:01.129391
model_version,False,True,,4,,0,LEGACY_ONLY,2026-07-25 12:19:01.129391
model_weight,False,True,,4,,1,LEGACY_ONLY,2026-07-25 12:19:01.129391
model_weight_history,False,True,,4,,0,LEGACY_ONLY,2026-07-25 12:19:01.129391
poisson_model,False,True,,4,,1,LEGACY_ONLY,2026-07-25 12:19:01.129391
prediction_feature_snapshot,False,True,,4,,0,LEGACY_ONLY,2026-07-25 12:19:01.129391
prediction_history,False,True,,6,,2,LEGACY_ONLY,2026-07-25 12:19:01.129391
prediction_result,False,True,,5,,0,LEGACY_ONLY,2026-07-25 12:19:01.129391
runtime_log,True,False,3,,0,,CURRENT_ONLY,2026-07-25 12:19:01.129391
sqlite_sequence,True,True,2,2,1,7,SAME,2026-07-25 12:19:01.129391
system_registry,True,False,5,,0,,CURRENT_ONLY,2026-07-25 12:19:01.129391
xgboost_model,False,True,,4,,1,LEGACY_ONLY,2026-07-25 12:19:01.129391
