Asset,Path,Layer,Type,Exists,Architecture_Source,Legacy_Source,Status,Validation_Time
match_simulation_engine_V2.7.1.py,E:\football_v\11_SIMULATION_LAYER\engine\match_simulation_engine_V2.7.1.py,11_SIMULATION_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
match_simulation_engine_V2.7.py,E:\football_v\11_SIMULATION_LAYER\engine\match_simulation_engine_V2.7.py,11_SIMULATION_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
match_input.json,E:\football_v\11_SIMULATION_LAYER\input\match_input.json,11_SIMULATION_LAYER,.json,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
simulation_result.json,E:\football_v\11_SIMULATION_LAYER\output\simulation_result.json,11_SIMULATION_LAYER,.json,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
simulation_report.json,E:\football_v\11_SIMULATION_LAYER\reports\simulation_report.json,11_SIMULATION_LAYER,.json,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
simulation_runtime.db,E:\football_v\11_SIMULATION_LAYER\runtime\simulation_runtime.db,11_SIMULATION_LAYER,.db,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
decision_api.py,E:\football_v\12_API_LAYER\api\decision_api.py,12_API_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
prediction_api.py,E:\football_v\12_API_LAYER\api\prediction_api.py,12_API_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
api_validation_report.json,E:\football_v\12_API_LAYER\reports\api_validation_report.json,12_API_LAYER,.json,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
real_model_runtime_report.json,E:\football_v\12_API_LAYER\reports\real_model_runtime_report.json,12_API_LAYER,.json,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
api_runtime.db,E:\football_v\12_API_LAYER\runtime\api_runtime.db,12_API_LAYER,.db,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
football_prediction_service.py,E:\football_v\12_API_LAYER\service\football_prediction_service.py,12_API_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
api_integration_test.py,E:\football_v\12_API_LAYER\test\api_integration_test.py,12_API_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
match_cases.json,E:\football_v\13_TEST_LAYER\cases\match_cases.json,13_TEST_LAYER,.json,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
end_to_end_test_engine_V2.9.py,E:\football_v\13_TEST_LAYER\engine\end_to_end_test_engine_V2.9.py,13_TEST_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
final_system_test_report.json,E:\football_v\13_TEST_LAYER\reports\final_system_test_report.json,13_TEST_LAYER,.json,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
test_runtime.db,E:\football_v\13_TEST_LAYER\runtime\test_runtime.db,13_TEST_LAYER,.db,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
database_validation.py,E:\football_v\13_TEST_LAYER\validation\database_validation.py,13_TEST_LAYER,.py,True,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,DISCOVERED,2026-07-25 13:21:56.685366
