Layer,Exists,Asset_Count,Database_Count,Architecture_Status,Governance_Status,Legacy_Status,Rule_Source,Validation_Time
01_DATA_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
02_FEATURE_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
03_MODEL_LAYER,True,10,3,ALIGNED,FROZEN_APPROVED,LEGACY_MODEL_FROZEN,CLAUDE.md,2026-07-25 13:32:10.842136
04_PREDICTION_LAYER,True,10,3,ALIGNED,FROZEN_APPROVED,PREDICTION_GOVERNANCE_APPROVED,CLAUDE.md,2026-07-25 13:32:10.842136
05_MARKET_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
06_RISK_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
07_LEARNING_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
08_DECISION_LAYER,True,5,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
09_APPLICATION_LAYER,True,5,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
10_GOVERNANCE_LAYER,True,111,0,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
11_SIMULATION_LAYER,True,6,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
12_API_LAYER,True,7,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
13_TEST_LAYER,True,5,1,ALIGNED,FROZEN_APPROVED,NONE,CLAUDE.md,2026-07-25 13:32:10.842136
99_DOCUMENTATION,True,384,2,ALIGNED,REFERENCE_ONLY,NONE,CLAUDE.md,2026-07-25 13:32:10.857792
