Layer,Exists,Asset_Count,Database_Count,SQLite_Pass_Count,Architecture,Baseline,Legacy_Source,Rule_Source,Validation_Time
01_DATA_LAYER,True,1,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.352531
02_FEATURE_LAYER,True,1,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.834582
03_MODEL_LAYER,True,10,3,3,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.882725
04_PREDICTION_LAYER,True,10,3,3,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.898288
05_MARKET_LAYER,True,1,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.898288
06_RISK_LAYER,True,1,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.911683
07_LEARNING_LAYER,True,1,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.911683
08_DECISION_LAYER,True,5,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.911683
09_APPLICATION_LAYER,True,5,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.927353
10_GOVERNANCE_LAYER,True,120,0,0,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.935248
11_SIMULATION_LAYER,True,6,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.935248
12_API_LAYER,True,7,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.935248
13_TEST_LAYER,True,5,1,1,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.935248
99_DOCUMENTATION,True,384,2,2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:53:35.966522
