Path,Name,Type,Decision,Suggested_Status,Validation_Time
E:\football_v\legacy_delete_check.py,legacy_delete_check.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.154349
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,debug.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.185690
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py,metadata_legacy.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.185690
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,wheel_legacy.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.185690
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,editable_legacy.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.185690
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy,legacy,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.185690
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,temp_dir.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.185690
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.201245
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt,FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.201245
E:\football_v\00_System_OS\registry\module_template.json,module_template.json,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.216832
E:\football_v\00_System_OS\scripts\legacy_archive_finalize_v12.ps1,legacy_archive_finalize_v12.ps1,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.216832
E:\football_v\00_System_OS\scripts\legacy_cleanup_v10.ps1,legacy_cleanup_v10.ps1,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.216832
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\templates,templates,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.216832
E:\football_v\03_Data_Governance\Football_AI_OS_Legacy_Asset_Index_V1.0.zip,Football_AI_OS_Legacy_Asset_Index_V1.0.zip,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.216832
E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\backup_feedback_receiver_V1.0.py,backup_feedback_receiver_V1.0.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.248633
E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\backup,backup,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.248633
E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\backup\feedback_connector_V0.1_backup.py,feedback_connector_V0.1_backup.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.248633
E:\football_v\10_GOVERNANCE_LAYER\audit\Legacy_Asset_Review_Report_V1.0.md,Legacy_Asset_Review_Report_V1.0.md,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.248633
E:\football_v\10_GOVERNANCE_LAYER\audit\Phase8_Legacy_Isolation_Check_V1.0.csv,Phase8_Legacy_Isolation_Check_V1.0.csv,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.248633
E:\football_v\10_GOVERNANCE_LAYER\checkpoint\Checkpoint_LEGACY_ASSET_REVIEW_V1.0.json,Checkpoint_LEGACY_ASSET_REVIEW_V1.0.json,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.248633
E:\football_v\10_GOVERNANCE_LAYER\registry\Football_AI_OS_Legacy_Asset_Index_V1.0.csv,Football_AI_OS_Legacy_Asset_Index_V1.0.csv,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.264289
E:\football_v\10_GOVERNANCE_LAYER\registry\Legacy_Retention_List_V1.0.csv,Legacy_Retention_List_V1.0.csv,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.264289
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\backup_engine,backup_engine,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.284103
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\database_backup_scheduler,database_backup_scheduler,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.284103
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\backup_engine\backup_engine_V1.0.py,backup_engine_V1.0.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.284918
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\batch_modules\create_backup_engine.py,create_backup_engine.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.284918
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\database_backup_scheduler\database_backup_scheduler_V1.0.py,database_backup_scheduler_V1.0.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.284918
E:\football_v\99_DOCUMENTATION\backup,backup,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.300608
E:\football_v\99_DOCUMENTATION\Legacy_Asset_Index,Legacy_Asset_Index,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.300608
E:\football_v\99_DOCUMENTATION\backup\Core_Backup_V1.2,Core_Backup_V1.2,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\backup\Legacy_Archive_Finalize_V12,Legacy_Archive_Finalize_V12,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\backup\logger_backup_v12,logger_backup_v12,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\backup\Core_Cleanup_Patch_V12\framework_initializer_backup.py,framework_initializer_backup.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\backup\Legacy_Archive_Finalize_V12\legacy_cleanup_v10_backup.ps1,legacy_cleanup_v10_backup.ps1,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\database_backup_v11,database_backup_v11,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\exception_backup_v10,exception_backup_v10,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\file_service_backup_v11,file_service_backup_v11,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\hash_service_backup_v11,hash_service_backup_v11,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\logger_backup_20260720_105240,logger_backup_20260720_105240,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\logger_core_patch_backup_20260720_110736,logger_core_patch_backup_20260720_110736,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
