"Database_ID","Database_Name","Path","Size_MB","Layer","Status","Action","Validation"
"DB0001","archive_football_ai_os.db","E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db","0.12","01_DATA_LAYER","DISCOVERED","PENDING","PENDING"
"DB0002","football_ai_os.db","E:\football_v\00_System_OS\01_DATA_LAYER\database\football_ai_os.db","0.03","01_DATA_LAYER","DISCOVERED","PENDING","PENDING"
"DB0003","match_data.db","E:\football_v\00_System_OS\01_DATA_LAYER\database\match_data.db","256.42","01_DATA_LAYER","DISCOVERED","PENDING","PENDING"
"DB0004","feature_store.db","E:\football_v\00_System_OS\02_FEATURE_LAYER\database\feature_store.db","15","02_FEATURE_LAYER","DISCOVERED","PENDING","PENDING"
"DB0005","model_store.db","E:\football_v\00_System_OS\03_MODEL_LAYER\database\model_store.db","0.05","03_MODEL_LAYER","DISCOVERED","PENDING","PENDING"
"DB0006","football_ai_os.db","E:\football_v\00_System_OS\database\football_ai_os.db","0.02","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0007","match_data.db","E:\football_v\01_DATA_LAYER\database\match_data.db","256.42","01_DATA_LAYER","DISCOVERED","PENDING","PENDING"
"DB0008","feature_store.db","E:\football_v\02_FEATURE_LAYER\database\feature_store.db","84.79","02_FEATURE_LAYER","DISCOVERED","PENDING","PENDING"
"DB0009","model_store.db","E:\football_v\03_MODEL_LAYER\database\model_store.db","0.03","03_MODEL_LAYER","DISCOVERED","PENDING","PENDING"
"DB0010","model_store_v23.db","E:\football_v\03_MODEL_LAYER\database\model_store_v23.db","0.01","03_MODEL_LAYER","DISCOVERED","PENDING","PENDING"
"DB0011","model_feedback_runtime.db","E:\football_v\03_MODEL_LAYER\runtime\model_feedback_runtime.db","0.01","03_MODEL_LAYER","DISCOVERED","PENDING","PENDING"
"DB0012","prediction_service.db","E:\football_v\04_PREDICTION_LAYER\database\prediction_service.db","0.02","04_PREDICTION_LAYER","DISCOVERED","PENDING","PENDING"
"DB0013","api_runtime.db","E:\football_v\04_PREDICTION_LAYER\runtime\api_runtime.db","0.01","04_PREDICTION_LAYER","DISCOVERED","PENDING","PENDING"
"DB0014","prediction_runtime.db","E:\football_v\04_PREDICTION_LAYER\runtime\prediction_runtime.db","0.02","04_PREDICTION_LAYER","DISCOVERED","PENDING","PENDING"
"DB0015","market_value.db","E:\football_v\05_MARKET_LAYER\database\market_value.db","0.01","05_MARKET_LAYER","DISCOVERED","PENDING","PENDING"
"DB0016","risk_manager.db","E:\football_v\06_RISK_LAYER\database\risk_manager.db","0.01","06_RISK_LAYER","DISCOVERED","PENDING","PENDING"
"DB0017","learning_feedback.db","E:\football_v\07_LEARNING_LAYER\database\learning_feedback.db","0.02","07_LEARNING_LAYER","DISCOVERED","PENDING","PENDING"
"DB0018","decision_history.db","E:\football_v\08_DECISION_LAYER\database\decision_history.db","0.01","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0019","application_runtime.db","E:\football_v\09_APPLICATION_LAYER\runtime\application_runtime.db","0.01","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0020","integration_test.db","E:\football_v\10_INTEGRATION_LAYER\runtime\integration_test.db","0.01","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0021","simulation_runtime.db","E:\football_v\11_SIMULATION_LAYER\runtime\simulation_runtime.db","0.01","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0022","api_runtime.db","E:\football_v\12_API_LAYER\runtime\api_runtime.db","0.01","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0023","test_runtime.db","E:\football_v\13_TEST_LAYER\runtime\test_runtime.db","0.01","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0024","archive_match_data_before_v22.db","E:\football_v\99_DOCUMENTATION\checkpoints\archive_match_data_before_v22.db","0.01","UNKNOWN","DISCOVERED","PENDING","PENDING"
"DB0025","archive_system_before_prediction_v12_20260723_191821.db","E:\football_v\99_DOCUMENTATION\checkpoints\archive_system_before_prediction_v12_20260723_191821.db","0.03","UNKNOWN","DISCOVERED","PENDING","PENDING"
