Asset,Path,Layer,Size_MB,Time
market_value.db,E:\football_v\05_MARKET_LAYER\database\market_value.db,05_MARKET_LAYER,0.01,2026-07-25 13:12:57.226679
risk_manager.db,E:\football_v\06_RISK_LAYER\database\risk_manager.db,06_RISK_LAYER,0.01,2026-07-25 13:12:57.266738
learning_feedback.db,E:\football_v\07_LEARNING_LAYER\database\learning_feedback.db,07_LEARNING_LAYER,0.02,2026-07-25 13:12:57.269729
decision_history.db,E:\football_v\08_DECISION_LAYER\database\decision_history.db,08_DECISION_LAYER,0.01,2026-07-25 13:12:57.277708
decision_engine_V2.4.py,E:\football_v\08_DECISION_LAYER\engine\decision_engine_V2.4.py,08_DECISION_LAYER,0.0,2026-07-25 13:12:57.279768
recommendation_engine.py,E:\football_v\08_DECISION_LAYER\engine\recommendation_engine.py,08_DECISION_LAYER,0.0,2026-07-25 13:12:57.279768
decision_monitor.py,E:\football_v\08_DECISION_LAYER\monitor\decision_monitor.py,08_DECISION_LAYER,0.0,2026-07-25 13:12:57.279768
decision_service.py,E:\football_v\08_DECISION_LAYER\service\decision_service.py,08_DECISION_LAYER,0.0,2026-07-25 13:12:57.280798
decision_api.py,E:\football_v\09_APPLICATION_LAYER\api\decision_api.py,09_APPLICATION_LAYER,0.0,2026-07-25 13:12:57.281798
prediction_api.py,E:\football_v\09_APPLICATION_LAYER\api\prediction_api.py,09_APPLICATION_LAYER,0.0,2026-07-25 13:12:57.281798
match_analysis.py,E:\football_v\09_APPLICATION_LAYER\interface\match_analysis.py,09_APPLICATION_LAYER,0.0,2026-07-25 13:12:57.281798
application_runtime.db,E:\football_v\09_APPLICATION_LAYER\runtime\application_runtime.db,09_APPLICATION_LAYER,0.01,2026-07-25 13:12:57.281798
football_ai_service.py,E:\football_v\09_APPLICATION_LAYER\service\football_ai_service.py,09_APPLICATION_LAYER,0.0,2026-07-25 13:12:57.284755
