Old_Path,New_Path,Status,Reason,Time
E:\football_v\.pytest_cache,E:\football_v\TEMP_.pytest_cache,RENAMED,Temporary asset,2026-07-25 14:11:05.263399
E:\football_v\106_REAL_ODDS_HISTORY_ENGINE,E:\football_v\ARCHIVE_106_REAL_ODDS_HISTORY_ENGINE,RENAMED,Historical asset,2026-07-25 14:11:05.263399
E:\football_v\146_HISTORY_CONVERSATION_STORE,E:\football_v\ARCHIVE_146_HISTORY_CONVERSATION_STORE,RENAMED,Historical asset,2026-07-25 14:11:05.263399
E:\football_v\__pycache__,E:\football_v\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.263399
E:\football_v\legacy_delete_check.py,E:\football_v\ARCHIVE_legacy_delete_check.py,RENAMED,Historical asset,2026-07-25 14:11:05.263399
E:\football_v\.venv\Lib\site-packages\pip\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.263399
E:\football_v\.venv\Lib\site-packages\pip\_internal\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.279186
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\TEMP_cache.py,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\TEMP_cache.py,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\TEMP_debug.py,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.316013
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.331574
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\TEMP_cache.py,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\ARCHIVE_metadata_legacy.py,RENAMED,Historical asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\ARCHIVE_wheel_legacy.py,RENAMED,Historical asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\ARCHIVE_editable_legacy.py,RENAMED,Historical asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\ARCHIVE_legacy,RENAMED,Historical asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\TEMP_temp_dir.py,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol,E:\football_v\.venv\Lib\site-packages\pip\_vendor\TEMP_cachecontrol,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.332227
E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\styles\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\compat\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\compat\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\tomli\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\tomli\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
