size,imports,features,rows,entry_function,file,called_function,functions,dependency,layers,class,module,table,keywords,sql,lines,function,error,reason,migration,source,status,path,columns,classes,capability,line,database,count,keyword
,,,,,E:\football_v\check_db_tables.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,2,,,,E:\football_v\conftest.py,,1,,,,,,,,14,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,,,,,E:\football_v\database_inspector.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\database_migration_engine_V1.0.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\deploy_ai_intelligence_V2.0.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\deploy_console_v1_1.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,3,,,,E:\football_v\deploy_frozen_v15_completion.py,,0,,,,,,,,181,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,,,,,E:\football_v\deploy_integration_test_V1.5.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\deploy_integration_validation_V1.5.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,3,,,,E:\football_v\deploy_local_console_v1.py,,0,,,,,,,,121,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase11.py,,0,,,,,,,,100,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase12.py,,0,,,,,,,,78,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase13.py,,0,,,,,,,,97,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase14.py,,0,,,,,,,,91,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase15.py,,0,,,,,,,,91,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase16.py,,0,,,,,,,,105,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase17.py,,0,,,,,,,,59,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase18_20.py,,0,,,,,,,,59,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase21_25.py,,0,,,,,,,,46,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase26_30.py,,0,,,,,,,,45,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase31_35.py,,0,,,,,,,,41,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_phase36_40.py,,0,,,,,,,,40,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,,,,,E:\football_v\deploy_phase51_55.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\deploy_phase56_60.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,0,,,,E:\football_v\deploy_remaining_modules_V1.5.py,,0,,,,,,,,0,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,,4,,,,,,,,301,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,1,,,,E:\football_v\deploy_v15_phase2_patch3.py,,1,,,,,,,,232,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\final_acceptance_test.py,,0,,,,,,,,106,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,,,,,E:\football_v\final_deploy.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\fix_integration_report_schema_V1.5.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\legacy_delete_check.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\migration_test.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,3,,,,E:\football_v\phase12_test.py,,0,,,,,,,,35,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase13_test.py,,0,,,,,,,,67,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase14_test.py,,0,,,,,,,,63,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
