error,functions,classes,lines,imports,file
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\check_db_tables.py
,1,0,14,2,E:\football_v\conftest.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\database_inspector.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\database_migration_engine_V1.0.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\deploy_ai_intelligence_V2.0.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\deploy_console_v1_1.py
,0,0,181,3,E:\football_v\deploy_frozen_v15_completion.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\deploy_integration_test_V1.5.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\deploy_integration_validation_V1.5.py
,0,0,121,3,E:\football_v\deploy_local_console_v1.py
,0,0,100,3,E:\football_v\deploy_phase11.py
,0,0,78,3,E:\football_v\deploy_phase12.py
,0,0,97,3,E:\football_v\deploy_phase13.py
,0,0,91,3,E:\football_v\deploy_phase14.py
,0,0,91,3,E:\football_v\deploy_phase15.py
,0,0,105,3,E:\football_v\deploy_phase16.py
,0,0,59,3,E:\football_v\deploy_phase17.py
,0,0,59,3,E:\football_v\deploy_phase18_20.py
,0,0,46,3,E:\football_v\deploy_phase21_25.py
,0,0,45,3,E:\football_v\deploy_phase26_30.py
,0,0,41,3,E:\football_v\deploy_phase31_35.py
,0,0,40,3,E:\football_v\deploy_phase36_40.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\deploy_phase51_55.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\deploy_phase56_60.py
,0,0,0,0,E:\football_v\deploy_remaining_modules_V1.5.py
,4,0,301,3,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
,1,0,232,1,E:\football_v\deploy_v15_phase2_patch3.py
,0,0,106,3,E:\football_v\final_acceptance_test.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\final_deploy.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\fix_integration_report_schema_V1.5.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\legacy_delete_check.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\migration_test.py
,0,0,35,3,E:\football_v\phase12_test.py
,0,0,67,3,E:\football_v\phase13_test.py
,0,0,63,3,E:\football_v\phase14_test.py
,0,0,62,2,E:\football_v\phase15_test.py
,0,0,64,2,E:\football_v\phase16_test.py
,0,0,35,2,E:\football_v\phase17_test.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\phase1_python_asset_scan.py
,0,0,35,2,E:\football_v\phase21_25_test.py
,0,0,33,2,E:\football_v\phase26_30_test.py
,0,0,64,3,E:\football_v\phase36_40_deploy.py
,0,0,69,3,E:\football_v\phase36_40_deploy_test.py
,0,0,30,2,E:\football_v\phase36_40_test.py
,0,0,65,3,E:\football_v\phase41_45_deploy_test.py
,0,0,96,3,E:\football_v\phase46_50_deploy_test.py
,0,0,117,3,E:\football_v\phase51_55_final_validation.py
,0,0,65,3,E:\football_v\phase51_validation.py
,0,0,99,3,E:\football_v\phase52_backtest.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\release_final_patch_V2.0.1.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\release_integration_V2.0.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\release_validation_V1.5.py
,0,0,4,1,E:\football_v\start_ai_os.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\test_ai_intelligence_V2.0.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,,E:\football_v\validate_release_V2.0.py
,1,0,13,2,E:\football_v\.venv\Lib\site-packages\pip\__init__.py
,0,0,24,3,E:\football_v\.venv\Lib\site-packages\pip\__main__.py
,2,1,50,4,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py
,15,3,322,19,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
,17,5,290,14,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
,24,1,383,10,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
,44,36,809,20,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
,1,0,12,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py
,3,0,185,10,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
,11,2,252,24,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
,11,0,354,23,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
,1,0,18,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
,3,0,176,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
,9,1,240,22,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
,28,1,1075,17,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
,3,1,27,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
,7,2,171,14,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
,1,0,80,11,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py
,3,0,134,10,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
,17,4,294,10,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
