dependency,file
pytest,E:\football_v\conftest.py
pathlib,E:\football_v\conftest.py
os,E:\football_v\deploy_frozen_v15_completion.py
json,E:\football_v\deploy_frozen_v15_completion.py
datetime,E:\football_v\deploy_frozen_v15_completion.py
os,E:\football_v\deploy_local_console_v1.py
json,E:\football_v\deploy_local_console_v1.py
datetime,E:\football_v\deploy_local_console_v1.py
os,E:\football_v\deploy_phase11.py
json,E:\football_v\deploy_phase11.py
datetime,E:\football_v\deploy_phase11.py
os,E:\football_v\deploy_phase12.py
json,E:\football_v\deploy_phase12.py
datetime,E:\football_v\deploy_phase12.py
os,E:\football_v\deploy_phase13.py
json,E:\football_v\deploy_phase13.py
datetime,E:\football_v\deploy_phase13.py
os,E:\football_v\deploy_phase14.py
json,E:\football_v\deploy_phase14.py
datetime,E:\football_v\deploy_phase14.py
os,E:\football_v\deploy_phase15.py
json,E:\football_v\deploy_phase15.py
datetime,E:\football_v\deploy_phase15.py
os,E:\football_v\deploy_phase16.py
json,E:\football_v\deploy_phase16.py
datetime,E:\football_v\deploy_phase16.py
os,E:\football_v\deploy_phase17.py
json,E:\football_v\deploy_phase17.py
datetime,E:\football_v\deploy_phase17.py
os,E:\football_v\deploy_phase18_20.py
json,E:\football_v\deploy_phase18_20.py
datetime,E:\football_v\deploy_phase18_20.py
os,E:\football_v\deploy_phase21_25.py
json,E:\football_v\deploy_phase21_25.py
datetime,E:\football_v\deploy_phase21_25.py
os,E:\football_v\deploy_phase26_30.py
json,E:\football_v\deploy_phase26_30.py
datetime,E:\football_v\deploy_phase26_30.py
os,E:\football_v\deploy_phase31_35.py
json,E:\football_v\deploy_phase31_35.py
datetime,E:\football_v\deploy_phase31_35.py
os,E:\football_v\deploy_phase36_40.py
json,E:\football_v\deploy_phase36_40.py
datetime,E:\football_v\deploy_phase36_40.py
os,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
json,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
datetime,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
os,E:\football_v\deploy_v15_phase2_patch3.py
os,E:\football_v\final_acceptance_test.py
json,E:\football_v\final_acceptance_test.py
datetime,E:\football_v\final_acceptance_test.py
json,E:\football_v\phase12_test.py
datetime,E:\football_v\phase12_test.py
os,E:\football_v\phase12_test.py
json,E:\football_v\phase13_test.py
datetime,E:\football_v\phase13_test.py
os,E:\football_v\phase13_test.py
json,E:\football_v\phase14_test.py
datetime,E:\football_v\phase14_test.py
os,E:\football_v\phase14_test.py
json,E:\football_v\phase15_test.py
datetime,E:\football_v\phase15_test.py
json,E:\football_v\phase16_test.py
datetime,E:\football_v\phase16_test.py
json,E:\football_v\phase17_test.py
datetime,E:\football_v\phase17_test.py
json,E:\football_v\phase21_25_test.py
datetime,E:\football_v\phase21_25_test.py
json,E:\football_v\phase26_30_test.py
datetime,E:\football_v\phase26_30_test.py
os,E:\football_v\phase36_40_deploy.py
json,E:\football_v\phase36_40_deploy.py
datetime,E:\football_v\phase36_40_deploy.py
os,E:\football_v\phase36_40_deploy_test.py
json,E:\football_v\phase36_40_deploy_test.py
datetime,E:\football_v\phase36_40_deploy_test.py
json,E:\football_v\phase36_40_test.py
datetime,E:\football_v\phase36_40_test.py
os,E:\football_v\phase41_45_deploy_test.py
json,E:\football_v\phase41_45_deploy_test.py
datetime,E:\football_v\phase41_45_deploy_test.py
os,E:\football_v\phase46_50_deploy_test.py
json,E:\football_v\phase46_50_deploy_test.py
datetime,E:\football_v\phase46_50_deploy_test.py
os,E:\football_v\phase51_55_final_validation.py
json,E:\football_v\phase51_55_final_validation.py
datetime,E:\football_v\phase51_55_final_validation.py
os,E:\football_v\phase51_validation.py
json,E:\football_v\phase51_validation.py
datetime,E:\football_v\phase51_validation.py
os,E:\football_v\phase52_backtest.py
json,E:\football_v\phase52_backtest.py
datetime,E:\football_v\phase52_backtest.py
AI_RUNTIME.console,E:\football_v\start_ai_os.py
