error,classes,functions,layers,file
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\check_db_tables.py
,,pytest_collect_file,,E:\football_v\conftest.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\database_inspector.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\database_migration_engine_V1.0.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\deploy_ai_intelligence_V2.0.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\deploy_console_v1_1.py
,,,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER,E:\football_v\deploy_frozen_v15_completion.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\deploy_integration_test_V1.5.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\deploy_integration_validation_V1.5.py
,,,RUNTIME_LAYER|DATA_LAYER,E:\football_v\deploy_local_console_v1.py
,,,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER,E:\football_v\deploy_phase11.py
,,,MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|FEATURE_LAYER,E:\football_v\deploy_phase12.py
,,,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER,E:\football_v\deploy_phase13.py
,,,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER,E:\football_v\deploy_phase14.py
,,,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER,E:\football_v\deploy_phase15.py
,,,PREDICTION_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER,E:\football_v\deploy_phase16.py
,,,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER,E:\football_v\deploy_phase17.py
,,,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER,E:\football_v\deploy_phase18_20.py
,,,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER,E:\football_v\deploy_phase21_25.py
,,,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER,E:\football_v\deploy_phase26_30.py
,,,VALUE_LAYER|MARKET_LAYER|RUNTIME_LAYER|DATA_LAYER,E:\football_v\deploy_phase31_35.py
,,,VALUE_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|MARKET_LAYER|FEATURE_LAYER,E:\football_v\deploy_phase36_40.py
"invalid non-printable character U+FEFF (<unknown>, line 1)",,,,E:\football_v\deploy_phase51_55.py
