keyword,count,file
data,3,E:\football_v\deploy_frozen_v15_completion.py
json,5,E:\football_v\deploy_frozen_v15_completion.py
database,1,E:\football_v\deploy_frozen_v15_completion.py
db,1,E:\football_v\deploy_frozen_v15_completion.py
feature,2,E:\football_v\deploy_frozen_v15_completion.py
form,1,E:\football_v\deploy_frozen_v15_completion.py
model,6,E:\football_v\deploy_frozen_v15_completion.py
predict,1,E:\football_v\deploy_frozen_v15_completion.py
prediction,1,E:\football_v\deploy_frozen_v15_completion.py
engine,3,E:\football_v\deploy_frozen_v15_completion.py
executor,1,E:\football_v\deploy_frozen_v15_completion.py
pipeline,1,E:\football_v\deploy_frozen_v15_completion.py
router,1,E:\football_v\deploy_frozen_v15_completion.py
service,1,E:\football_v\deploy_frozen_v15_completion.py
json,5,E:\football_v\deploy_local_console_v1.py
router,2,E:\football_v\deploy_local_console_v1.py
data,2,E:\football_v\deploy_phase11.py
load,1,E:\football_v\deploy_phase11.py
read,1,E:\football_v\deploy_phase11.py
json,7,E:\football_v\deploy_phase11.py
feature,4,E:\football_v\deploy_phase11.py
predict,5,E:\football_v\deploy_phase11.py
prediction,5,E:\football_v\deploy_phase11.py
score,1,E:\football_v\deploy_phase11.py
odds,1,E:\football_v\deploy_phase11.py
engine,2,E:\football_v\deploy_phase11.py
runtime,4,E:\football_v\deploy_phase11.py
service,1,E:\football_v\deploy_phase11.py
data,1,E:\football_v\deploy_phase12.py
json,3,E:\football_v\deploy_phase12.py
db,1,E:\football_v\deploy_phase12.py
feature,3,E:\football_v\deploy_phase12.py
model,2,E:\football_v\deploy_phase12.py
predict,3,E:\football_v\deploy_phase12.py
prediction,3,E:\football_v\deploy_phase12.py
score,1,E:\football_v\deploy_phase12.py
odds,1,E:\football_v\deploy_phase12.py
engine,2,E:\football_v\deploy_phase12.py
runtime,5,E:\football_v\deploy_phase12.py
pipeline,1,E:\football_v\deploy_phase12.py
load,1,E:\football_v\deploy_phase13.py
json,3,E:\football_v\deploy_phase13.py
feature,3,E:\football_v\deploy_phase13.py
model,2,E:\football_v\deploy_phase13.py
predict,4,E:\football_v\deploy_phase13.py
prediction,3,E:\football_v\deploy_phase13.py
probability,1,E:\football_v\deploy_phase13.py
score,1,E:\football_v\deploy_phase13.py
engine,2,E:\football_v\deploy_phase13.py
runtime,1,E:\football_v\deploy_phase13.py
data,1,E:\football_v\deploy_phase14.py
read,1,E:\football_v\deploy_phase14.py
json,3,E:\football_v\deploy_phase14.py
database,1,E:\football_v\deploy_phase14.py
query,2,E:\football_v\deploy_phase14.py
feature,3,E:\football_v\deploy_phase14.py
model,3,E:\football_v\deploy_phase14.py
predict,6,E:\football_v\deploy_phase14.py
prediction,6,E:\football_v\deploy_phase14.py
