module,path,capability
conftest.py,E:\football_v\conftest.py,
deploy_frozen_v15_completion.py,E:\football_v\deploy_frozen_v15_completion.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_local_console_v1.py,E:\football_v\deploy_local_console_v1.py,RUNTIME_LAYER|DATA_LAYER
deploy_phase11.py,E:\football_v\deploy_phase11.py,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER
deploy_phase12.py,E:\football_v\deploy_phase12.py,MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|FEATURE_LAYER
deploy_phase13.py,E:\football_v\deploy_phase13.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_phase14.py,E:\football_v\deploy_phase14.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_phase15.py,E:\football_v\deploy_phase15.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER
deploy_phase16.py,E:\football_v\deploy_phase16.py,PREDICTION_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_phase17.py,E:\football_v\deploy_phase17.py,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER
deploy_phase18_20.py,E:\football_v\deploy_phase18_20.py,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER
deploy_phase21_25.py,E:\football_v\deploy_phase21_25.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_phase26_30.py,E:\football_v\deploy_phase26_30.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_phase31_35.py,E:\football_v\deploy_phase31_35.py,VALUE_LAYER|MARKET_LAYER|RUNTIME_LAYER|DATA_LAYER
deploy_phase36_40.py,E:\football_v\deploy_phase36_40.py,VALUE_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|MARKET_LAYER|FEATURE_LAYER
deploy_remaining_modules_V1.5.py,E:\football_v\deploy_remaining_modules_V1.5.py,
deploy_remaining_modules_V1.5_FINAL.py,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_v15_phase2_patch3.py,E:\football_v\deploy_v15_phase2_patch3.py,RUNTIME_LAYER|DATA_LAYER
final_acceptance_test.py,E:\football_v\final_acceptance_test.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|FEATURE_LAYER
phase12_test.py,E:\football_v\phase12_test.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
phase13_test.py,E:\football_v\phase13_test.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
phase14_test.py,E:\football_v\phase14_test.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
phase15_test.py,E:\football_v\phase15_test.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER
phase16_test.py,E:\football_v\phase16_test.py,PREDICTION_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
phase17_test.py,E:\football_v\phase17_test.py,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER
phase21_25_test.py,E:\football_v\phase21_25_test.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
phase26_30_test.py,E:\football_v\phase26_30_test.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
phase36_40_deploy.py,E:\football_v\phase36_40_deploy.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
phase36_40_deploy_test.py,E:\football_v\phase36_40_deploy_test.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
phase36_40_test.py,E:\football_v\phase36_40_test.py,VALUE_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|MARKET_LAYER|FEATURE_LAYER
phase41_45_deploy_test.py,E:\football_v\phase41_45_deploy_test.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
phase46_50_deploy_test.py,E:\football_v\phase46_50_deploy_test.py,MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER
phase51_55_final_validation.py,E:\football_v\phase51_55_final_validation.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|FEATURE_LAYER
phase51_validation.py,E:\football_v\phase51_validation.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
phase52_backtest.py,E:\football_v\phase52_backtest.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
start_ai_os.py,E:\football_v\start_ai_os.py,RUNTIME_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\__init__.py,
__main__.py,E:\football_v\.venv\Lib\site-packages\pip\__main__.py,
__pip-runner__.py,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py,FEATURE_LAYER
build_env.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
cache.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
configuration.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
exceptions.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
main.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py,
pyproject.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
self_outdated_check.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
wheel_builder.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py,
autocompletion.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,VALUE_LAYER|DATA_LAYER
base_command.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,VALUE_LAYER|MARKET_LAYER|FEATURE_LAYER
cmdoptions.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
command_context.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py,VALUE_LAYER
index_command.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
main.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py,VALUE_LAYER
main_parser.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py,VALUE_LAYER|FEATURE_LAYER
parser.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
progress_bars.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py,DATA_LAYER
req_command.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
spinners.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py,VALUE_LAYER|BETTING_LAYER|DATA_LAYER
status_codes.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py,VALUE_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\__init__.py,
cache.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,VALUE_LAYER|PREDICTION_LAYER|FEATURE_LAYER
check.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
completion.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
configuration.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
debug.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
download.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
freeze.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py,VALUE_LAYER|FEATURE_LAYER
hash.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
help.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py,VALUE_LAYER
index.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
inspect.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
install.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
list.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
search.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
show.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
uninstall.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
wheel.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
base.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py,DATA_LAYER
installed.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py,FEATURE_LAYER|DATA_LAYER
sdist.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py,FEATURE_LAYER|DATA_LAYER
wheel.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py,VALUE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py,
collector.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
package_finder.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
sources.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,VALUE_LAYER|MODEL_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\__init__.py,
base.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\base.py,VALUE_LAYER|FEATURE_LAYER
_distutils.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
_sysconfig.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER
base.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
pkg_resources.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
_json.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\_json.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
