called_function,file,error
,E:\football_v\check_db_tables.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\database_inspector.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\database_migration_engine_V1.0.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\deploy_ai_intelligence_V2.0.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\deploy_console_v1_1.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\deploy_integration_test_V1.5.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\deploy_integration_validation_V1.5.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\deploy_phase51_55.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\deploy_phase56_60.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
open,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,
write_file,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,
str,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,
open,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,
list,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,
str,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,
open,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,
print,E:\football_v\deploy_v15_phase2_patch3.py,
open,E:\football_v\deploy_v15_phase2_patch3.py,
,E:\football_v\final_deploy.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\fix_integration_report_schema_V1.5.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\legacy_delete_check.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\migration_test.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\phase1_python_asset_scan.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\phase2_function_scan.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
