file,class
E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py,PipImportRedirectingFinder
E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,_Prefix
E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,BuildEnvironment
E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,NoOpBuildEnvironment
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,Cache
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,SimpleWheelCache
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,EphemWheelCache
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,CacheEntry
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,WheelCache
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,Configuration
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,PipError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,DiagnosticPipError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,ConfigurationError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,InstallationError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,MissingPyProjectBuildRequires
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,InvalidPyProjectBuildRequires
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,NoneMetadataError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,UserInstallationInvalid
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,InvalidSchemeCombination
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,DistributionNotFound
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,RequirementsFileParseError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,BestVersionAlreadyInstalled
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,BadCommand
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,CommandError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,PreviousBuildDirError
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,NetworkConnectionError
