file,keyword,entry_function
E:\football_v\.venv\Lib\site-packages\pip\__init__.py,main,main
E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,run,get_runnable_pip
E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py,main,main
E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py,main,main
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,run,_run_wrapper
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,main,main
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,main,_main
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,run,_inner_run
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py,main,main_context
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py,main,main
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py,main,create_main_parser
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,run,run
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,start,handle_starttag
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,run,run_script
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,run,truncate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,start,starting
