columns,rows,table,database
id|data_id|file_name|file_path|data_type|source|file_hash|version|status|created_time,3,data_registry,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
name|seq,14,sqlite_sequence,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|file_name|version|hash|created_time,0,file_version,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|action|target|result|created_time,0,audit_log,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|bookmaker_id|name|market_type|weight|quality_score|status,4,bookmaker_registry,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|market_code|market_name|priority,5,market_type_registry,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|match_id|bookmaker_id|market_code|selection|handicap|odds|capture_time|version,3,market_snapshot,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|data_id|parent_data|process|created_time,2,data_lineage,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|data_id|import_type|operator|import_time|result,2,import_history,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|data_id|completeness|accuracy|quality_status,2,data_quality,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|task_id|task_type|source|target|status|priority|error_message|created_time|updated_time|retry_count,7,data_tasks,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|task_type|max_retry|retry_interval|priority|description|created_time,6,retry_policy,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|task_id|old_status|new_status|message|created_time,20,task_history,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|task_id|attempt|result|error_message|duration|created_time,4,retry_records,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|rule_name|rule_type|weight|threshold|severity|description|created_time,5,quality_rules,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|data_id|completeness_score|accuracy_score|freshness_score|source_score|total_score|quality_level|created_time,2,quality_scores,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|data_id|rule_name|severity|message|status|created_time|alert_key|details|count|updated_time,1,quality_alerts,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
id|name|value|created_time,0,system_registry,E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db
