file,classes,keywords,functions
E:\football_v\deploy_frozen_v15_completion.py,,model|predict|registry,
E:\football_v\deploy_phase11.py,,predict|registry,
E:\football_v\deploy_phase12.py,,model|predict,
E:\football_v\deploy_phase13.py,,model|predict,
E:\football_v\deploy_phase14.py,,model|predict,
E:\football_v\deploy_phase15.py,,model|predict,
E:\football_v\deploy_phase16.py,,predict,
E:\football_v\deploy_phase17.py,,predict,
E:\football_v\deploy_phase18_20.py,,predict,
E:\football_v\deploy_phase21_25.py,,XGB|dixon|dixon_coles|elo|model|poisson|predict|xgboost,
E:\football_v\deploy_phase26_30.py,,model|predict,
E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,,model|predict|registry,write_file|create_modules|create_tests|update_registry
E:\football_v\final_acceptance_test.py,,XGB|dixon|dixon_coles|elo|model|poisson|predict|xgboost,
E:\football_v\phase12_test.py,,model|predict,
E:\football_v\phase13_test.py,,model|predict,
E:\football_v\phase14_test.py,,model|predict,
E:\football_v\phase15_test.py,,model|predict,
E:\football_v\phase16_test.py,,predict,
E:\football_v\phase17_test.py,,predict,
E:\football_v\phase21_25_test.py,,XGB|dixon|dixon_coles|elo|model|poisson|predict|xgboost,
E:\football_v\phase26_30_test.py,,model|predict,
E:\football_v\phase41_45_deploy_test.py,,model|predict,
E:\football_v\phase46_50_deploy_test.py,,model,
E:\football_v\phase51_55_final_validation.py,,XGB|dixon|dixon_coles|elo|model|poisson|predict|registry|xgboost,
E:\football_v\phase51_validation.py,,XGB|dixon|dixon_coles|elo|model|poisson|predict|xgboost,
E:\football_v\phase52_backtest.py,,XGB|dixon|dixon_coles|elo|model|poisson|predict|xgboost,
E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,_Prefix|BuildEnvironment|NoOpBuildEnvironment,evaluate,_dedup|get_runnable_pip|_get_system_sitepackages|__init__|__init__|__enter__|__exit__|check_requirements|install_requirements|_install_requirements|__init__|__enter__|__exit__|cleanup|install_requirements
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,Cache|SimpleWheelCache|EphemWheelCache|CacheEntry|WheelCache,model,_hash_dict|__init__|_get_cache_path_parts|_get_candidates|get_path_for_link|get|__init__|get_path_for_link|get|__init__|__init__|__init__|get_path_for_link|get_ephem_path_for_link|get|get_cache_entry|record_download_origin
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,Configuration,elo,_normalize_name|_disassemble_key|get_configuration_files|__init__|load|get_file_to_edit|items|get_value|set_value|unset_value|save|_ensure_have_load_only|_dictionary|_load_config_files|_load_file|_construct_parser|_load_environment_vars|_normalized_keys|get_environ_vars|iter_config_files|get_values_in_config|_get_parser_to_modify|_mark_as_modified|__repr__
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,PipError|DiagnosticPipError|ConfigurationError|InstallationError|MissingPyProjectBuildRequires|InvalidPyProjectBuildRequires|NoneMetadataError|UserInstallationInvalid|InvalidSchemeCombination|DistributionNotFound|RequirementsFileParseError|BestVersionAlreadyInstalled|BadCommand|CommandError|PreviousBuildDirError|NetworkConnectionError|InvalidWheelFilename|UnsupportedWheel|InvalidWheel|MetadataInconsistent|MetadataInvalid|InstallationSubprocessError|MetadataGenerationFailed|HashErrors|HashError|VcsHashUnsupported|DirectoryUrlHashUnsupported|HashMissing|HashUnpinned|HashMismatch|UnsupportedPythonVersion|ConfigurationFileCouldNotBeLoaded|ExternallyManagedEnvironment|UninstallMissingRecord|LegacyDistutilsInstall|InvalidInstalledPackage,elo|evaluate|model,_is_kebab_case|_prefix_with_indent|__init__|__repr__|__rich_console__|__init__|__init__|__init__|__str__|__str__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|append|__str__|__bool__|body|__str__|_requirement_name|__init__|body|__init__|body|_hash_comparison|__init__|__str__|__init__|_iter_externally_managed_error_keys|from_config|__init__|__init__|__init__|hash_then_or
E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,SelfCheckState|UpgradePrompt,model,_get_statefile_name|_convert_date|was_installed_by_pip|_get_current_remote_pip_version|_self_version_check_logic|pip_self_version_check|__init__|key|get|set|__rich__
E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,,model|train,_contains_egg_info|_should_build|should_build_for_wheel_command|should_build_for_install_command|_should_cache|_get_cache_dir|_verify_one|_build_one|_build_one_inside_env|_clean_one_legacy|build
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,Command,registry,__init__|add_options|handle_pip_version_check|run|_run_wrapper|parse_args|main|_main|_inner_run
