file,keyword
E:\football_v\deploy_frozen_v15_completion.py,model
E:\football_v\deploy_frozen_v15_completion.py,predict
E:\football_v\deploy_frozen_v15_completion.py,registry
E:\football_v\deploy_phase11.py,predict
E:\football_v\deploy_phase11.py,registry
E:\football_v\deploy_phase12.py,model
E:\football_v\deploy_phase12.py,predict
E:\football_v\deploy_phase13.py,model
E:\football_v\deploy_phase13.py,predict
E:\football_v\deploy_phase14.py,model
E:\football_v\deploy_phase14.py,predict
E:\football_v\deploy_phase15.py,model
E:\football_v\deploy_phase15.py,predict
E:\football_v\deploy_phase16.py,predict
E:\football_v\deploy_phase17.py,predict
E:\football_v\deploy_phase18_20.py,predict
E:\football_v\deploy_phase21_25.py,elo
E:\football_v\deploy_phase21_25.py,dixon
E:\football_v\deploy_phase21_25.py,dixon_coles
E:\football_v\deploy_phase21_25.py,poisson
E:\football_v\deploy_phase21_25.py,xgboost
E:\football_v\deploy_phase21_25.py,XGB
E:\football_v\deploy_phase21_25.py,model
E:\football_v\deploy_phase21_25.py,predict
E:\football_v\deploy_phase26_30.py,model
E:\football_v\deploy_phase26_30.py,predict
E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,model
E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,predict
E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,registry
E:\football_v\final_acceptance_test.py,elo
E:\football_v\final_acceptance_test.py,dixon
E:\football_v\final_acceptance_test.py,dixon_coles
E:\football_v\final_acceptance_test.py,poisson
E:\football_v\final_acceptance_test.py,xgboost
E:\football_v\final_acceptance_test.py,XGB
E:\football_v\final_acceptance_test.py,model
E:\football_v\final_acceptance_test.py,predict
E:\football_v\phase12_test.py,model
E:\football_v\phase12_test.py,predict
E:\football_v\phase13_test.py,model
E:\football_v\phase13_test.py,predict
E:\football_v\phase14_test.py,model
E:\football_v\phase14_test.py,predict
E:\football_v\phase15_test.py,model
E:\football_v\phase15_test.py,predict
E:\football_v\phase16_test.py,predict
E:\football_v\phase17_test.py,predict
E:\football_v\phase21_25_test.py,elo
E:\football_v\phase21_25_test.py,dixon
E:\football_v\phase21_25_test.py,dixon_coles
E:\football_v\phase21_25_test.py,poisson
E:\football_v\phase21_25_test.py,xgboost
E:\football_v\phase21_25_test.py,XGB
E:\football_v\phase21_25_test.py,model
E:\football_v\phase21_25_test.py,predict
E:\football_v\phase26_30_test.py,model
E:\football_v\phase26_30_test.py,predict
E:\football_v\phase41_45_deploy_test.py,model
E:\football_v\phase41_45_deploy_test.py,predict
E:\football_v\phase46_50_deploy_test.py,model
E:\football_v\phase51_55_final_validation.py,elo
E:\football_v\phase51_55_final_validation.py,dixon
E:\football_v\phase51_55_final_validation.py,dixon_coles
E:\football_v\phase51_55_final_validation.py,poisson
E:\football_v\phase51_55_final_validation.py,xgboost
E:\football_v\phase51_55_final_validation.py,XGB
E:\football_v\phase51_55_final_validation.py,model
E:\football_v\phase51_55_final_validation.py,predict
E:\football_v\phase51_55_final_validation.py,registry
E:\football_v\phase51_validation.py,elo
E:\football_v\phase51_validation.py,dixon
E:\football_v\phase51_validation.py,dixon_coles
E:\football_v\phase51_validation.py,poisson
E:\football_v\phase51_validation.py,xgboost
E:\football_v\phase51_validation.py,XGB
E:\football_v\phase51_validation.py,model
E:\football_v\phase51_validation.py,predict
E:\football_v\phase52_backtest.py,elo
E:\football_v\phase52_backtest.py,dixon
E:\football_v\phase52_backtest.py,dixon_coles
E:\football_v\phase52_backtest.py,poisson
E:\football_v\phase52_backtest.py,xgboost
E:\football_v\phase52_backtest.py,XGB
E:\football_v\phase52_backtest.py,model
E:\football_v\phase52_backtest.py,predict
E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,model
