file,function
E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,record_download_origin
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,load
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,save
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,_ensure_have_load_only
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,_load_config_files
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,_load_file
E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,_load_environment_vars
E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,load_pyproject_toml
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,constraints
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py,get_download_progress_renderer
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py,_save_configuration
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,evaluate_link
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,evaluate_links
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,save_auth_info
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,save_auth_info
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,save_auth_info
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,save_auth_info
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,_should_save_password_to_keyring
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,save_credentials
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,_prepare_download
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,_http_get_download
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,_download
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,_check_download_dir
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,save_linked_requirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,save
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,save
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,save
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,check_invalid_constraint_type
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,load_pyproject_toml
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,_iter_candidates_from_constraints
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,overload
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,get_overloads
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,clear_overloads
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py,_load_from_cache
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,loads
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,_loads_v4
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,save_configuration
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,upload_file
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,upload_documentation
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,download_file
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,convert_url_to_download_info
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,_process_download
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,are_valid_constraints
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,_load_pypirc
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py,is_valid_constraint_list
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py,_load_dynamic
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py,load_module
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py,_evaluate_markers
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py,_get_payload
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,register_loader_type
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,load_entry_point
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,evaluate_marker
