keyword,file,count
history,E:\football_v\check_old_history.py,2
rating,E:\football_v\check_old_history.py,1
form,E:\football_v\check_old_history.py,1
fatigue,E:\football_v\check_old_history.py,1
feature,E:\football_v\deploy_frozen_v15_completion.py,2
form,E:\football_v\deploy_frozen_v15_completion.py,1
schedule,E:\football_v\deploy_frozen_v15_completion.py,1
feature,E:\football_v\deploy_phase11.py,4
feature,E:\football_v\deploy_phase12.py,3
feature,E:\football_v\deploy_phase13.py,3
feature,E:\football_v\deploy_phase14.py,3
schedule,E:\football_v\deploy_phase15.py,1
feature,E:\football_v\deploy_phase16.py,3
form,E:\football_v\deploy_phase16.py,1
feature,E:\football_v\deploy_phase17.py,3
feature,E:\football_v\deploy_phase18_20.py,1
feature_engine,E:\football_v\deploy_phase18_20.py,1
feature,E:\football_v\deploy_phase21_25.py,1
feature,E:\football_v\deploy_phase26_30.py,1
feature_store,E:\football_v\deploy_phase26_30.py,1
history,E:\football_v\deploy_phase36_40.py,1
form,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,1
feature,E:\football_v\final_acceptance_test.py,1
feature,E:\football_v\phase12_test.py,1
feature,E:\football_v\phase13_test.py,1
feature,E:\football_v\phase14_test.py,1
feature,E:\football_v\phase16_test.py,1
feature,E:\football_v\phase17_test.py,1
feature,E:\football_v\phase21_25_test.py,1
feature,E:\football_v\phase26_30_test.py,1
feature_store,E:\football_v\phase26_30_test.py,1
feature,E:\football_v\phase36_40_deploy.py,1
feature_engine,E:\football_v\phase36_40_deploy.py,1
strength,E:\football_v\phase36_40_deploy.py,1
feature,E:\football_v\phase36_40_deploy_test.py,1
feature_engine,E:\football_v\phase36_40_deploy_test.py,1
strength,E:\football_v\phase36_40_deploy_test.py,1
history,E:\football_v\phase36_40_test.py,1
feature,E:\football_v\phase41_45_deploy_test.py,1
feature,E:\football_v\phase51_55_final_validation.py,1
historical,E:\football_v\phase51_55_final_validation.py,1
feature,E:\football_v\phase51_validation.py,1
feature,E:\football_v\phase52_backtest.py,1
historical,E:\football_v\phase52_backtest.py,2
feature,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py,1
features,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,7
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,3
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,3
rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,6
recovery,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,5
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,1
power,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,1
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,6
features,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,6
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,8
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,1
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,12
features,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,5
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,43
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,7
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,1
features,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py,17
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,5
features,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,3
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,7
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,20
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py,1
power,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py,2
transform,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,8
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py,1
rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py,6
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,6
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,13
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,1
transform,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,6
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,6
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py,1
rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py,6
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,3
rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,47
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\base.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py,1
historical,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,6
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py,2
rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,11
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\_json.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py,1
rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,1
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,3
historical,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,10
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,9
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py,14
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py,1
history,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,1
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,2
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,21
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py,5
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,1
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,6
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,9
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,1
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,7
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,11
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,2
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,1
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,5
features,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,4
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,5
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,1
features,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,1
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,3
rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,12
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py,3
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,2
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,1
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__init__.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,3
schedule,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,12
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,6
recent,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,16
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,7
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,1
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\appdirs.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compat.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py,34
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py,7
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py,5
normalization,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\egg_link.py,1
historical,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py,1
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py,6
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filetypes.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\glibc.py,10
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\glibc.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,28
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,2
transform,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py,10
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py,20
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\packaging.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\retry.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py,5
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,6
feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,1
features,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,5
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,5
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\urls.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\wheel.py,3
fitness,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py,1
rest,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\git.py,8
previous,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py,5
form,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,8
transform,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,13
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,82
rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\__init__.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\__init__.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py,1
transform,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py,1
normalization,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,2
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,2
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,1
rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,14
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,11
feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,1
features,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,1
transform,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,1
rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,11
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,3
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,19
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,17
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,4
feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,1
features,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,1
transform,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,17
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,10
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,1
power,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,40
normalization,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py,1
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py,8
transform,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py,2
normalization,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py,3
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py,1
power,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py,76
encoder,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\codec.py,4
