line,file
"""history"",",E:\football_v\check_old_history.py
"""rating""",E:\football_v\check_old_history.py
SELECT name,E:\football_v\check_old_history.py
"print(""\n---- HISTORY RELATED ----"")",E:\football_v\check_old_history.py
"""feature_registry.py"",",E:\football_v\deploy_frozen_v15_completion.py
"""feature_importance.py""",E:\football_v\deploy_frozen_v15_completion.py
"""42_REAL_FEATURE_GENERATOR"":[",E:\football_v\deploy_phase11.py
"""feature_builder.py"",",E:\football_v\deploy_phase11.py
"""feature_runtime.py"",",E:\football_v\deploy_phase11.py
"""feature_registry.json""",E:\football_v\deploy_phase11.py
"""45_FEATURE_PIPELINE_RUNTIME"":[",E:\football_v\deploy_phase12.py
"""feature_runtime.py"",",E:\football_v\deploy_phase12.py
"""feature_builder.py""",E:\football_v\deploy_phase12.py
"""50_FEATURE_VALIDATION_ENGINE"":[",E:\football_v\deploy_phase13.py
"""feature_validator.py"",",E:\football_v\deploy_phase13.py
"""feature_checker.py""",E:\football_v\deploy_phase13.py
"""54_FEATURE_BUILD_ENGINE"":[",E:\football_v\deploy_phase14.py
"""feature_builder.py"",",E:\football_v\deploy_phase14.py
"""feature_pipeline.py""",E:\football_v\deploy_phase14.py
"""64_LIVE_FEATURE_PROCESSOR"":[",E:\football_v\deploy_phase16.py
"""live_feature.py"",",E:\football_v\deploy_phase16.py
"""feature_processor.py""",E:\football_v\deploy_phase16.py
"""70_FEATURE_CALCULATION_ENGINE"":[",E:\football_v\deploy_phase17.py
"""feature_calculator.py"",",E:\football_v\deploy_phase17.py
"""feature_runtime.py""",E:\football_v\deploy_phase17.py
"""69_LIVE_MATCH_FEATURE_ENGINE"",",E:\football_v\deploy_phase18_20.py
"""76_MODEL_FEATURE_INTEGRATION"",",E:\football_v\deploy_phase21_25.py
"""96_MATCH_FEATURE_STORE"",",E:\football_v\deploy_phase26_30.py
"""106_REAL_ODDS_HISTORY_ENGINE"",",E:\football_v\deploy_phase36_40.py
"""109_VALUE_BET_SELECTION_ENGINE"",",E:\football_v\deploy_phase36_40.py
sys.path.insert(,E:\football_v\deploy_v15_phase2_patch3.py
"""02_FEATURE_LAYER"",",E:\football_v\final_acceptance_test.py
"""45_FEATURE_PIPELINE_RUNTIME"",",E:\football_v\phase12_test.py
"""50_FEATURE_VALIDATION_ENGINE"",",E:\football_v\phase13_test.py
"""54_FEATURE_BUILD_ENGINE"",",E:\football_v\phase14_test.py
"""64_LIVE_FEATURE_PROCESSOR"",",E:\football_v\phase16_test.py
"""70_FEATURE_CALCULATION_ENGINE"",",E:\football_v\phase17_test.py
"""76_MODEL_FEATURE_INTEGRATION"",",E:\football_v\phase21_25_test.py
"""96_MATCH_FEATURE_STORE"",",E:\football_v\phase26_30_test.py
"""111_ADVANCED_FEATURE_ENGINE"",",E:\football_v\phase36_40_deploy.py
"""111_ADVANCED_FEATURE_ENGINE"",",E:\football_v\phase36_40_deploy_test.py
"""106_REAL_ODDS_HISTORY_ENGINE"",",E:\football_v\phase36_40_test.py
"""109_VALUE_BET_SELECTION_ENGINE"",",E:\football_v\phase36_40_test.py
"""117_FEATURE_AUTO_GENERATOR"",",E:\football_v\phase41_45_deploy_test.py
"""FEATURE_PIPELINE_RUNTIME"",",E:\football_v\phase51_55_final_validation.py
"""76_MODEL_FEATURE_INTEGRATION"",",E:\football_v\phase51_validation.py
"""76_MODEL_FEATURE_INTEGRATION"",",E:\football_v\phase52_backtest.py
"sys.path.insert(0, path)",E:\football_v\.venv\Lib\site-packages\pip\__main__.py
"# From here on, we can use Python 3 features, but the syntax must remain",E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py
"sys.meta_path.insert(0, PipImportRedirectingFinder())",E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py
# environments are not provided any mechanism to select specific extras.,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
We only insert things into the cache if they have plausible version,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
"message=""Encountered error while generating package metadata."",",E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
