entry_function,keyword,file
main,main,E:\football_v\.venv\Lib\site-packages\pip\__init__.py
get_runnable_pip,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
_run_wrapper,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
_main,main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
_inner_run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
main_context,main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py
create_main_parser,main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
handle_starttag,start,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py
run_script,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py
truncate,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
starting,start,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py
starting_round,start,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py
get_message_start,start,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py
warn_if_run_as_root,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py
runner_with_spinner_message,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py
runner,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py
_running_under_venv,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py
_running_under_legacy_virtualenv,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py
running_under_virtualenv,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py
run_command,run,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py
runtime_checkable,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py
run_requires,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
run_command,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py
dry_run,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py
dry_run,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py
start,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py
run_command,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py
run_script,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
run_script,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
run_script,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
user_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py
site_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py
user_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
site_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
user_runtime_path,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
site_runtime_path,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
iter_runtime_dirs,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
iter_runtime_paths,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
user_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py
site_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py
user_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py
site_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py
user_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py
site_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py
user_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py
site_runtime_dir,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py
user_runtime_path,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py
site_runtime_path,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py
main_inner,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
start,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py
_handle_runs,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\unistring.py
default_subprocess_runner,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py
quiet_subprocess_runner,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py
subprocess_runner,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\_in_process.py
list_domains,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py
multiple_domains,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py
main,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\help.py
starting,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\reporters.py
starting_round,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\reporters.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\live.py
is_started,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\live.py
start,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\live.py
run,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py
started,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py
remaining,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py
time_remaining,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py
start,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py
start_task,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py
start,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\status.py
truncate,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\text.py
truncate,run,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_null_file.py
erase_start_of_line,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_win32_console.py
is_appengine,engine,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py
is_appengine_sandbox,engine,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py
is_local_appengine,engine,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py
is_prod_appengine,engine,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py
is_prod_appengine_mvms,engine,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py
start_connect,start,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py
startup_check,start,E:\football_v\00_System_OS\01_DATA_LAYER\main.py
main,main,E:\football_v\00_System_OS\01_DATA_LAYER\main.py
run_basic_check,run,E:\football_v\00_System_OS\01_DATA_LAYER\quality\quality_checker.py
run_test,run,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py
run_test,run,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_retry_logger.py
run_test,run,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_scheduler_reliability.py
run_test,run,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_history.py
run_test,run,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_reliability_full.py
start_task,start,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\scheduler.py
run,run,E:\football_v\00_System_OS\Automation\scheduler\scheduler_manager.py
main,main,E:\football_v\00_System_OS\Bootstrap\bootstrap.py
run,run,E:\football_v\00_System_OS\Bootstrap\deploy_system.py
run_check,run,E:\football_v\00_System_OS\Bootstrap\system_check.py
