status,size,reason,file
B,521,content|model|feature|database,E:\football_v\check_db_tables.py
C,294,content,E:\football_v\conftest.py
A,1907,content|model|predict|feature|database,E:\football_v\database_inspector.py
A,3675,content|model|feature|history|rating|database|odds,E:\football_v\database_migration_engine_V1.0.py
A,1987,content|model|predict|feature|engine|train,E:\football_v\deploy_ai_intelligence_V2.0.py
B,1927,content|model|runtime,E:\football_v\deploy_console_v1_1.py
A,2654,content|model|predict|feature|engine|database,E:\football_v\deploy_frozen_v15_completion.py
B,1463,content|model|engine|database,E:\football_v\deploy_integration_test_V1.5.py
B,2114,content|model|engine|database,E:\football_v\deploy_integration_validation_V1.5.py
C,1872,content,E:\football_v\deploy_local_console_v1.py
A,1570,content|predict|feature|engine|runtime|odds,E:\football_v\deploy_phase11.py
A,1252,content|model|predict|feature|engine|runtime|odds,E:\football_v\deploy_phase12.py
A,1188,content|model|predict|feature|engine|runtime,E:\football_v\deploy_phase13.py
A,1233,content|model|predict|feature|engine|runtime|database,E:\football_v\deploy_phase14.py
A,1185,content|model|predict|engine|runtime|odds,E:\football_v\deploy_phase15.py
A,1335,content|predict|feature|engine|runtime|database,E:\football_v\deploy_phase16.py
A,1112,content|predict|feature|engine|runtime|odds,E:\football_v\deploy_phase17.py
A,1198,content|predict|feature|engine|odds,E:\football_v\deploy_phase18_20.py
A,997,content|model|predict|feature|engine|runtime|bet,E:\football_v\deploy_phase21_25.py
A,838,content|model|predict|feature|engine,E:\football_v\deploy_phase26_30.py
B,851,content|engine|runtime|odds,E:\football_v\deploy_phase31_35.py
A,800,content|history|engine|runtime|odds|bet,E:\football_v\deploy_phase36_40.py
B,2155,content|engine|runtime,E:\football_v\deploy_phase51_55.py
A,2080,content|model|history|engine|runtime|database,E:\football_v\deploy_phase56_60.py
D,0,,E:\football_v\deploy_remaining_modules_V1.5.py
A,4102,content|model|predict|engine|database,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
C,3340,content|engine,E:\football_v\deploy_v15_phase2_patch3.py
A,1217,content|model|predict|feature|engine|database,E:\football_v\final_acceptance_test.py
B,2807,content|model|engine|runtime,E:\football_v\final_deploy.py
C,2201,content,E:\football_v\FINAL_FREEZE_REPORT.json
B,984,content|model|engine|database,E:\football_v\fix_integration_report_schema_V1.5.py
C,26781,content,E:\football_v\framework_migration_report.json
C,1449,content,E:\football_v\legacy_delete_check.py
B,621,content|model|feature|database,E:\football_v\migration_test.py
A,539,content|model|predict|feature|engine|runtime,E:\football_v\phase12_test.py
A,549,content|model|predict|feature|engine,E:\football_v\phase13_test.py
A,581,content|model|predict|feature|engine|runtime,E:\football_v\phase14_test.py
A,571,content|model|predict|engine|runtime|odds,E:\football_v\phase15_test.py
A,576,content|predict|feature|engine|database,E:\football_v\phase16_test.py
A,526,content|predict|feature|engine|odds,E:\football_v\phase17_test.py
C,3196,content,E:\football_v\phase1_python_asset_scan.py
A,720,content|model|predict|feature|engine|runtime|bet,E:\football_v\phase21_25_test.py
