"FullName","Length","LastWriteTime"
"E:\FOOTBALL_V\checkpoint_locations.txt","1948","2026-07-21 15:16:54"
"E:\FOOTBALL_V\check_db_tables.py","521","2026-07-23 10:03:43"
"E:\FOOTBALL_V\conftest.py","294","2026-07-21 18:59:53"
"E:\FOOTBALL_V\current_check.txt","32950","2026-07-20 15:31:01"
"E:\FOOTBALL_V\database_inspector.py","1907","2026-07-22 18:55:47"
"E:\FOOTBALL_V\database_migration_engine_V1.0.py","3675","2026-07-22 18:59:36"
"E:\FOOTBALL_V\deploy_ai_intelligence_V2.0.py","1987","2026-07-22 23:16:47"
"E:\FOOTBALL_V\deploy_console_v1_1.py","1927","2026-07-23 09:45:49"
"E:\FOOTBALL_V\deploy_frozen_v15_completion.py","2654","2026-07-23 00:31:49"
"E:\FOOTBALL_V\deploy_integration_test_V1.5.py","1463","2026-07-22 23:00:14"
"E:\FOOTBALL_V\deploy_integration_validation_V1.5.py","2114","2026-07-22 23:03:20"
"E:\FOOTBALL_V\deploy_local_console_v1.py","1872","2026-07-23 09:44:08"
"E:\FOOTBALL_V\deploy_phase11.py","1570","2026-07-22 23:50:58"
"E:\FOOTBALL_V\deploy_phase12.py","1252","2026-07-23 00:00:57"
"E:\FOOTBALL_V\deploy_phase13.py","1188","2026-07-23 00:02:41"
"E:\FOOTBALL_V\deploy_phase14.py","1233","2026-07-23 00:05:08"
"E:\FOOTBALL_V\deploy_phase15.py","1185","2026-07-23 00:06:27"
"E:\FOOTBALL_V\deploy_phase16.py","1335","2026-07-23 00:07:55"
"E:\FOOTBALL_V\deploy_phase17.py","1112","2026-07-23 00:12:05"
"E:\FOOTBALL_V\deploy_phase18_20.py","1198","2026-07-23 00:13:11"
"E:\FOOTBALL_V\deploy_phase21_25.py","997","2026-07-23 00:14:15"
"E:\FOOTBALL_V\deploy_phase26_30.py","838","2026-07-23 00:17:04"
"E:\FOOTBALL_V\deploy_phase31_35.py","851","2026-07-23 00:17:53"
"E:\FOOTBALL_V\deploy_phase36_40.py","800","2026-07-23 00:18:40"
