file,classification,reason,status
﻿FILE,B,需要引用确认,WAIT_APPROVAL
E:\football_v\CHANGELOG.md,B,需要引用确认,WAIT_APPROVAL
E:\football_v\check_model_db.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\check_model_history.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\migrate_model_history.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\model_execution_test_v1.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\model_import_test.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\model_import_test_v2.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\MODEL_LAYER_AUDIT_SOURCE.txt,B,需要引用确认,WAIT_APPROVAL
E:\football_v\MODEL_LAYER_FULL_AUDIT_SCAN.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\MODEL_LAYER_TREE.txt,B,需要引用确认,WAIT_APPROVAL
E:\football_v\model_runtime_test_v1.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\phase5_model_scan.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\release_registry_V1.5.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\model_data_snapshot_V4.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\06_PREDICTION_ENGINE\prediction_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\07_BACKTEST_AI\model_feedback.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\08_DECISION_ENGINE\decision_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\09_AI_ORCHESTRATION_LAYER\model_router.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\09_Prediction_System\model_result_adapter.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\104_MARKET_SENTIMENT_FUSION_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\10_AI_AUTONOMOUS_ENGINE\model_change_tracker.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\10_AI_AUTONOMOUS_ENGINE\model_self_optimizer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\118_MODEL_INFERENCE_SERVICE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\agent_fusion_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\decision_fusion.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\dixon_coles_model.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\dixon_coles_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\elo_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\elo_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\intelligence_fusion_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\model_accuracy_memory.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\model_adjustment_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\model_conflict_detector.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\model_fusion_core.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\model_observer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\model_optimizer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\model_weight_optimizer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\poisson_model.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\poisson_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\probability_fusion_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\xgboost_predictor.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\11_System_Intelligence\xgboost_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\121_DATABASE_GOVERNANCE_LAYER\data_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\122_MODEL_STORE_LAYER\metadata_manager.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\123_MODEL_WEIGHT_UPDATE_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\124_DASHBOARD_LAYER\model_monitor.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\126_MODEL_EXPLANATION_ENGINE\explanation_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\143_MODEL_CALL_ORCHESTRATOR\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\17_MODEL_STORE_LAYER\deploy_model_store_batch_01_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\17_MODEL_STORE_LAYER\deploy_model_store_batch_02_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\17_MODEL_STORE_LAYER\model_loader.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\17_MODEL_STORE_LAYER\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\18_MODEL_EXECUTION_ENGINE\deploy_execution_engine_batch_01_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\18_MODEL_EXECUTION_ENGINE\execution_engine_api.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\18_MODEL_EXECUTION_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\18_MODEL_EXECUTION_ENGINE\__init__.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\22_AI_FEATURE_STORE_LAYER\feature_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\23_MODEL_TRAINING_ENGINE\dixon_coles_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\23_MODEL_TRAINING_ENGINE\elo_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\23_MODEL_TRAINING_ENGINE\fusion_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\23_MODEL_TRAINING_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\23_MODEL_TRAINING_ENGINE\poisson_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\23_MODEL_TRAINING_ENGINE\xgboost_trainer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\26_AUTOMATION_LAYER\model_scheduler.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\27_MODEL_FUSION_ENGINE\confidence_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\27_MODEL_FUSION_ENGINE\fusion_engine_V2.1.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\27_MODEL_FUSION_ENGINE\model_weight_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\31_SELF_LEARNING_ENGINE\model_update_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\37_MODEL_INTELLIGENCE_CONNECTOR\dixon_coles_loader.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\42_REAL_FEATURE_GENERATOR\feature_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\44_PRODUCTION_PREDICTION_RUNTIME\production_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\76_MODEL_FEATURE_INTEGRATION\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\77_ELO_RUNTIME_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\78_DIXON_COLES_RUNTIME_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\79_POISSON_RUNTIME_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\80_XGBOOST_RUNTIME_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\81_MODEL_FUSION_PREDICTOR\module.py,B,需要引用确认,WAIT_APPROVAL
