FILE,STATUS,TARGET,DELETE_DECISION
E:\football_v\CHANGELOG.md,DOCUMENT_KEEP,,PENDING
E:\football_v\check_model_db.py,NEED_REVIEW,,PENDING
E:\football_v\check_model_history.py,NEED_REVIEW,,PENDING
E:\football_v\migrate_model_history.py,NEED_REVIEW,,PENDING
E:\football_v\model_execution_test_v1.py,TEST_KEEP,,PENDING
E:\football_v\model_import_test.py,TEST_KEEP,,PENDING
E:\football_v\model_import_test_v2.py,TEST_KEEP,,PENDING
E:\football_v\MODEL_LAYER_AUDIT_SOURCE.txt,NEED_REVIEW,,PENDING
E:\football_v\MODEL_LAYER_FULL_AUDIT_SCAN.py,NEED_REVIEW,,PENDING
E:\football_v\MODEL_LAYER_TREE.txt,NEED_REVIEW,,PENDING
E:\football_v\model_runtime_test_v1.py,TEST_KEEP,,PENDING
E:\football_v\phase5_model_scan.py,NEED_REVIEW,,PENDING
E:\football_v\release_registry_V1.5.json,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\model_data_snapshot_V4.0.py,NEED_REVIEW,,PENDING
E:\football_v\06_PREDICTION_ENGINE\prediction_registry.py,NEED_REVIEW,,PENDING
E:\football_v\07_BACKTEST_AI\model_feedback.py,NEED_REVIEW,,PENDING
E:\football_v\08_DECISION_ENGINE\decision_registry.py,NEED_REVIEW,,PENDING
E:\football_v\09_AI_ORCHESTRATION_LAYER\model_router.py,NEED_REVIEW,,PENDING
E:\football_v\09_Prediction_System\model_result_adapter.py,NEED_REVIEW,,PENDING
E:\football_v\104_MARKET_SENTIMENT_FUSION_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\10_AI_AUTONOMOUS_ENGINE\model_change_tracker.py,NEED_REVIEW,,PENDING
E:\football_v\10_AI_AUTONOMOUS_ENGINE\model_self_optimizer.py,NEED_REVIEW,,PENDING
E:\football_v\118_MODEL_INFERENCE_SERVICE\module.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\agent_fusion_engine.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\decision_fusion.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\dixon_coles_model.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\dixon_coles_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\elo_engine.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\elo_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\intelligence_fusion_engine.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\model_accuracy_memory.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\model_adjustment_engine.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\model_conflict_detector.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\model_fusion_core.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\model_observer.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\model_optimizer.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\model_weight_optimizer.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\poisson_model.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\poisson_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\probability_fusion_engine.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\xgboost_predictor.py,NEED_REVIEW,,PENDING
E:\football_v\11_System_Intelligence\xgboost_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\121_DATABASE_GOVERNANCE_LAYER\data_registry.py,NEED_REVIEW,,PENDING
E:\football_v\122_MODEL_STORE_LAYER\metadata_manager.py,NEED_REVIEW,,PENDING
E:\football_v\123_MODEL_WEIGHT_UPDATE_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\124_DASHBOARD_LAYER\model_monitor.py,NEED_REVIEW,,PENDING
E:\football_v\126_MODEL_EXPLANATION_ENGINE\explanation_engine.py,NEED_REVIEW,,PENDING
E:\football_v\143_MODEL_CALL_ORCHESTRATOR\module.py,NEED_REVIEW,,PENDING
E:\football_v\17_MODEL_STORE_LAYER\deploy_model_store_batch_01_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\17_MODEL_STORE_LAYER\deploy_model_store_batch_02_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\17_MODEL_STORE_LAYER\model_loader.py,NEED_REVIEW,,PENDING
E:\football_v\17_MODEL_STORE_LAYER\module.py,NEED_REVIEW,,PENDING
E:\football_v\18_MODEL_EXECUTION_ENGINE\deploy_execution_engine_batch_01_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\18_MODEL_EXECUTION_ENGINE\execution_engine_api.py,NEED_REVIEW,,PENDING
E:\football_v\18_MODEL_EXECUTION_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\18_MODEL_EXECUTION_ENGINE\__init__.py,NEED_REVIEW,,PENDING
E:\football_v\22_AI_FEATURE_STORE_LAYER\feature_registry.py,NEED_REVIEW,,PENDING
E:\football_v\23_MODEL_TRAINING_ENGINE\dixon_coles_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\23_MODEL_TRAINING_ENGINE\elo_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\23_MODEL_TRAINING_ENGINE\fusion_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\23_MODEL_TRAINING_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\23_MODEL_TRAINING_ENGINE\poisson_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\23_MODEL_TRAINING_ENGINE\xgboost_trainer.py,NEED_REVIEW,,PENDING
E:\football_v\26_AUTOMATION_LAYER\model_scheduler.py,NEED_REVIEW,,PENDING
E:\football_v\27_MODEL_FUSION_ENGINE\confidence_engine.py,NEED_REVIEW,,PENDING
E:\football_v\27_MODEL_FUSION_ENGINE\fusion_engine_V2.1.py,NEED_REVIEW,,PENDING
E:\football_v\27_MODEL_FUSION_ENGINE\model_weight_engine.py,NEED_REVIEW,,PENDING
E:\football_v\31_SELF_LEARNING_ENGINE\model_update_engine.py,NEED_REVIEW,,PENDING
E:\football_v\37_MODEL_INTELLIGENCE_CONNECTOR\dixon_coles_loader.py,NEED_REVIEW,,PENDING
E:\football_v\42_REAL_FEATURE_GENERATOR\feature_registry.json,NEED_REVIEW,,PENDING
E:\football_v\44_PRODUCTION_PREDICTION_RUNTIME\production_registry.json,NEED_REVIEW,,PENDING
E:\football_v\76_MODEL_FEATURE_INTEGRATION\module.py,NEED_REVIEW,,PENDING
E:\football_v\77_ELO_RUNTIME_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\78_DIXON_COLES_RUNTIME_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\79_POISSON_RUNTIME_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\80_XGBOOST_RUNTIME_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\81_MODEL_FUSION_PREDICTOR\module.py,NEED_REVIEW,,PENDING
E:\football_v\95_MODEL_FEEDBACK_ENGINE\module.py,NEED_REVIEW,,PENDING
E:\football_v\97_MODEL_WEIGHT_OPTIMIZER\module.py,NEED_REVIEW,,PENDING
E:\football_v\99_DOCUMENTATION\Model_Registry_Audit_V1.0.txt,NEED_REVIEW,,PENDING
E:\football_v\99_DOCUMENTATION\MODEL_REGISTRY_FULL_SCAN_REPORT_V1.0.txt,NEED_REVIEW,,PENDING
E:\football_v\AI_RUNTIME\model_connector.py,NEED_REVIEW,,PENDING
E:\football_v\AI_RUNTIME\model_fusion.py,NEED_REVIEW,,PENDING
E:\football_v\AI_RUNTIME\model_outputs.py,NEED_REVIEW,,PENDING
E:\football_v\AI_RUNTIME\model_runtime_connector.py,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\deploy_feature_model_layer_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\deploy_MODEL_LAYER_V2.10_OPTIMIZATION_ALL.ps1,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\deploy_MODEL_LAYER_V2.11_FEEDBACK_LOOP_ALL.ps1,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\deploy_model_layer_V2.3_REAL_ALL_FIX2.ps1,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\deploy_phase10_batch02_real_model_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\model_history_migration_engine_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\model_layer_V2.3_initializer.py,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\model_migration_engine_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\model_migration_engine_V1.1.py,NEED_REVIEW,,PENDING
E:\football_v\deployment_scripts\upgrade_model_registry_schema_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\.continue\rules\DEVELOPMENT_WORKFLOW.md,NEED_REVIEW,,PENDING
E:\football_v\.continue\rules\MODEL_DEVELOPMENT_RULES.md,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\candidate.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\direct_url.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\format_control.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\index.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\installation_report.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\link.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\scheme.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\search_scope.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\selection_prefs.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\target_python.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\wheel.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\__init__.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\models.py,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\modeline.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\models.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\check_match_source.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\database_test.py,TEST_KEEP,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\history_check.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\model_config.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\model_runtime_test.py,TEST_KEEP,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\old_history_check.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\test_model_loading.py,TEST_KEEP,,PENDING
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,TEST_KEEP,,PENDING
E:\football_v\00_System_OS\registry\dependency_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\dependency_map.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\modules.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\module_registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\module_template.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\registry_api.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\registry_log.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\registry_manager.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\registry\registry_scanner.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\01_DATA_LAYER\registry\data_lineage.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\01_DATA_LAYER\registry\import_tracker.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\01_DATA_LAYER\registry\quality_score.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\01_DATA_LAYER\registry\registry_manager.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_init.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_manager.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py,TEST_KEEP,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\database\model_store.db,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\model_config.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__init__.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Registry\model_migration_registry_v1.0.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Registry\model_registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\__pycache__\model_config.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\dixon_coles.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\dixon_coles_history_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__init__.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\elo_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__init__.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\config.py,NEED_REVIEW,,PENDING
