file,exists,size,last_modified,delete_status
E:\football_v\CHANGELOG.md,YES,1700,2026-07-27 10:26:41.388480,PENDING_REVIEW
E:\football_v\check_model_db.py,YES,276,2026-07-26 08:54:54.854092,PENDING_REVIEW
E:\football_v\check_model_history.py,YES,1105,2026-07-26 08:19:35.769617,PENDING_REVIEW
E:\football_v\migrate_model_history.py,YES,1195,2026-07-26 08:17:37.520447,PENDING_REVIEW
E:\football_v\model_execution_test_v1.py,YES,697,2026-07-26 08:45:13.937935,PENDING_REVIEW
E:\football_v\model_import_test.py,YES,809,2026-07-26 08:23:18.415737,PENDING_REVIEW
E:\football_v\model_import_test_v2.py,YES,1062,2026-07-26 08:31:25.188624,PENDING_REVIEW
E:\football_v\MODEL_LAYER_AUDIT_SOURCE.txt,YES,18519,2026-07-27 19:24:48.400350,PENDING_REVIEW
E:\football_v\MODEL_LAYER_FULL_AUDIT_SCAN.py,YES,2565,2026-07-27 21:32:31.304610,PENDING_REVIEW
E:\football_v\MODEL_LAYER_TREE.txt,YES,1890,2026-07-27 19:24:55.008765,PENDING_REVIEW
E:\football_v\model_runtime_test_v1.py,YES,1304,2026-07-26 08:44:00.107023,PENDING_REVIEW
E:\football_v\phase5_model_scan.py,YES,3239,2026-07-24 23:48:01.358305,PENDING_REVIEW
E:\football_v\release_registry_V1.5.json,YES,354,2026-07-22 22:53:45.100356,PENDING_REVIEW
E:\football_v\00_SYSTEM_TOOLS\model_data_snapshot_V4.0.py,YES,1514,2026-07-23 14:51:13.943934,PENDING_REVIEW
E:\football_v\06_PREDICTION_ENGINE\prediction_registry.py,YES,477,2026-07-21 11:27:27.939322,PENDING_REVIEW
E:\football_v\07_BACKTEST_AI\model_feedback.py,YES,1026,2026-07-21 11:43:58.702817,PENDING_REVIEW
E:\football_v\08_DECISION_ENGINE\decision_registry.py,YES,467,2026-07-21 11:51:29.807723,PENDING_REVIEW
E:\football_v\09_AI_ORCHESTRATION_LAYER\model_router.py,YES,1154,2026-07-21 11:56:20.421206,PENDING_REVIEW
E:\football_v\09_Prediction_System\model_result_adapter.py,YES,172,2026-07-21 18:11:41.634081,PENDING_REVIEW
E:\football_v\104_MARKET_SENTIMENT_FUSION_ENGINE\module.py,YES,51,2026-07-23 00:17:54.048706,PENDING_REVIEW
E:\football_v\10_AI_AUTONOMOUS_ENGINE\model_change_tracker.py,YES,644,2026-07-21 12:44:05.320607,PENDING_REVIEW
E:\football_v\10_AI_AUTONOMOUS_ENGINE\model_self_optimizer.py,YES,554,2026-07-21 12:15:45.671176,PENDING_REVIEW
E:\football_v\118_MODEL_INFERENCE_SERVICE\module.py,YES,91,2026-07-23 00:23:35.315249,PENDING_REVIEW
E:\football_v\11_System_Intelligence\agent_fusion_engine.py,YES,197,2026-07-21 20:48:48.585041,PENDING_REVIEW
E:\football_v\11_System_Intelligence\decision_fusion.py,YES,343,2026-07-21 20:01:39.584808,PENDING_REVIEW
E:\football_v\11_System_Intelligence\dixon_coles_model.py,YES,190,2026-07-21 20:46:19.833400,PENDING_REVIEW
E:\football_v\11_System_Intelligence\dixon_coles_trainer.py,YES,147,2026-07-21 20:51:13.439939,PENDING_REVIEW
E:\football_v\11_System_Intelligence\elo_engine.py,YES,303,2026-07-21 20:46:19.832401,PENDING_REVIEW
E:\football_v\11_System_Intelligence\elo_trainer.py,YES,181,2026-07-21 20:51:13.438938,PENDING_REVIEW
E:\football_v\11_System_Intelligence\intelligence_fusion_engine.py,YES,319,2026-07-21 20:01:39.584808,PENDING_REVIEW
E:\football_v\11_System_Intelligence\model_accuracy_memory.py,YES,176,2026-07-21 20:48:48.601365,PENDING_REVIEW
E:\football_v\11_System_Intelligence\model_adjustment_engine.py,YES,145,2026-07-21 20:51:13.445209,PENDING_REVIEW
E:\football_v\11_System_Intelligence\model_conflict_detector.py,YES,211,2026-07-21 20:43:30.999119,PENDING_REVIEW
E:\football_v\11_System_Intelligence\model_fusion_core.py,YES,263,2026-07-21 20:46:19.833400,PENDING_REVIEW
E:\football_v\11_System_Intelligence\model_observer.py,YES,111,2026-07-21 18:11:41.634081,PENDING_REVIEW
E:\football_v\11_System_Intelligence\model_optimizer.py,YES,652,2026-07-21 20:07:44.601252,PENDING_REVIEW
E:\football_v\11_System_Intelligence\model_weight_optimizer.py,YES,216,2026-07-21 20:43:30.999119,PENDING_REVIEW
E:\football_v\11_System_Intelligence\poisson_model.py,YES,214,2026-07-21 20:46:19.832401,PENDING_REVIEW
E:\football_v\11_System_Intelligence\poisson_trainer.py,YES,140,2026-07-21 20:51:13.439939,PENDING_REVIEW
E:\football_v\11_System_Intelligence\probability_fusion_engine.py,YES,516,2026-07-21 20:43:30.967820,PENDING_REVIEW
E:\football_v\11_System_Intelligence\xgboost_predictor.py,YES,201,2026-07-21 20:46:19.833400,PENDING_REVIEW
E:\football_v\11_System_Intelligence\xgboost_trainer.py,YES,140,2026-07-21 20:51:13.442214,PENDING_REVIEW
E:\football_v\121_DATABASE_GOVERNANCE_LAYER\data_registry.py,YES,73,2026-07-23 00:32:29.164082,PENDING_REVIEW
E:\football_v\122_MODEL_STORE_LAYER\metadata_manager.py,YES,65,2026-07-23 00:32:29.164082,PENDING_REVIEW
E:\football_v\123_MODEL_WEIGHT_UPDATE_ENGINE\module.py,YES,97,2026-07-23 00:24:20.940756,PENDING_REVIEW
E:\football_v\124_DASHBOARD_LAYER\model_monitor.py,YES,63,2026-07-23 00:32:29.164082,PENDING_REVIEW
E:\football_v\126_MODEL_EXPLANATION_ENGINE\explanation_engine.py,YES,72,2026-07-23 00:32:29.164082,PENDING_REVIEW
E:\football_v\143_MODEL_CALL_ORCHESTRATOR\module.py,YES,212,2026-07-23 09:48:29.402560,PENDING_REVIEW
E:\football_v\17_MODEL_STORE_LAYER\deploy_model_store_batch_01_V1.0.py,YES,2888,2026-07-22 21:46:31.380732,PENDING_REVIEW
E:\football_v\17_MODEL_STORE_LAYER\deploy_model_store_batch_02_V1.0.py,YES,2050,2026-07-22 21:48:06.803178,PENDING_REVIEW
E:\football_v\17_MODEL_STORE_LAYER\model_loader.py,YES,247,2026-07-22 22:53:45.069925,PENDING_REVIEW
E:\football_v\17_MODEL_STORE_LAYER\module.py,YES,350,2026-07-22 22:57:42.658307,PENDING_REVIEW
E:\football_v\18_MODEL_EXECUTION_ENGINE\deploy_execution_engine_batch_01_V1.0.py,YES,3227,2026-07-22 21:49:58.991978,PENDING_REVIEW
E:\football_v\18_MODEL_EXECUTION_ENGINE\execution_engine_api.py,YES,301,2026-07-28 00:15:56.224061,PENDING_REVIEW
E:\football_v\18_MODEL_EXECUTION_ENGINE\module.py,YES,469,2026-07-22 22:57:42.658821,PENDING_REVIEW
E:\football_v\18_MODEL_EXECUTION_ENGINE\__init__.py,YES,0,2026-07-28 00:23:36.195821,PENDING_REVIEW
E:\football_v\22_AI_FEATURE_STORE_LAYER\feature_registry.py,YES,152,2026-07-22 23:16:58.022566,PENDING_REVIEW
E:\football_v\23_MODEL_TRAINING_ENGINE\dixon_coles_trainer.py,YES,154,2026-07-22 23:16:58.022566,PENDING_REVIEW
E:\football_v\23_MODEL_TRAINING_ENGINE\elo_trainer.py,YES,146,2026-07-22 23:16:58.022566,PENDING_REVIEW
E:\football_v\23_MODEL_TRAINING_ENGINE\fusion_trainer.py,YES,149,2026-07-22 23:16:58.022566,PENDING_REVIEW
E:\football_v\23_MODEL_TRAINING_ENGINE\module.py,YES,141,2026-07-22 23:16:58.022566,PENDING_REVIEW
E:\football_v\23_MODEL_TRAINING_ENGINE\poisson_trainer.py,YES,150,2026-07-22 23:16:58.022566,PENDING_REVIEW
E:\football_v\23_MODEL_TRAINING_ENGINE\xgboost_trainer.py,YES,150,2026-07-22 23:16:58.022566,PENDING_REVIEW
E:\football_v\26_AUTOMATION_LAYER\model_scheduler.py,YES,145,2026-07-22 23:16:58.038187,PENDING_REVIEW
E:\football_v\27_MODEL_FUSION_ENGINE\confidence_engine.py,YES,97,2026-07-22 23:39:59.212184,PENDING_REVIEW
E:\football_v\27_MODEL_FUSION_ENGINE\fusion_engine_V2.1.py,YES,178,2026-07-22 23:39:59.212184,PENDING_REVIEW
E:\football_v\27_MODEL_FUSION_ENGINE\model_weight_engine.py,YES,228,2026-07-22 23:39:59.212184,PENDING_REVIEW
E:\football_v\31_SELF_LEARNING_ENGINE\model_update_engine.py,YES,96,2026-07-22 23:39:59.212184,PENDING_REVIEW
E:\football_v\37_MODEL_INTELLIGENCE_CONNECTOR\dixon_coles_loader.py,YES,128,2026-07-22 23:44:42.149446,PENDING_REVIEW
E:\football_v\42_REAL_FEATURE_GENERATOR\feature_registry.json,YES,96,2026-07-22 23:50:58.513614,PENDING_REVIEW
E:\football_v\44_PRODUCTION_PREDICTION_RUNTIME\production_registry.json,YES,103,2026-07-22 23:50:58.517194,PENDING_REVIEW
E:\football_v\76_MODEL_FEATURE_INTEGRATION\module.py,YES,47,2026-07-23 00:14:16.919230,PENDING_REVIEW
E:\football_v\77_ELO_RUNTIME_ENGINE\module.py,YES,40,2026-07-23 00:14:16.919230,PENDING_REVIEW
E:\football_v\78_DIXON_COLES_RUNTIME_ENGINE\module.py,YES,48,2026-07-23 00:14:16.934850,PENDING_REVIEW
E:\football_v\79_POISSON_RUNTIME_ENGINE\module.py,YES,44,2026-07-23 00:14:16.934850,PENDING_REVIEW
E:\football_v\80_XGBOOST_RUNTIME_ENGINE\module.py,YES,44,2026-07-23 00:14:16.934850,PENDING_REVIEW
E:\football_v\81_MODEL_FUSION_PREDICTOR\module.py,YES,44,2026-07-23 00:14:16.934850,PENDING_REVIEW
E:\football_v\95_MODEL_FEEDBACK_ENGINE\module.py,YES,41,2026-07-23 00:15:17.975664,PENDING_REVIEW
E:\football_v\97_MODEL_WEIGHT_OPTIMIZER\module.py,YES,45,2026-07-23 00:17:05.912611,PENDING_REVIEW
E:\football_v\99_DOCUMENTATION\Model_Registry_Audit_V1.0.txt,YES,1097,2026-07-28 20:16:20.340438,PENDING_REVIEW
E:\football_v\99_DOCUMENTATION\MODEL_REGISTRY_FULL_SCAN_REPORT_V1.0.txt,YES,979,2026-07-28 20:18:39.601891,PENDING_REVIEW
E:\football_v\AI_RUNTIME\model_connector.py,YES,770,2026-07-24 18:23:32.551193,PENDING_REVIEW
E:\football_v\AI_RUNTIME\model_fusion.py,YES,1153,2026-07-26 13:28:24.505895,PENDING_REVIEW
E:\football_v\AI_RUNTIME\model_outputs.py,YES,2735,2026-07-26 13:25:26.179287,PENDING_REVIEW
E:\football_v\AI_RUNTIME\model_runtime_connector.py,YES,1296,2026-07-26 13:15:58.346987,PENDING_REVIEW
E:\football_v\deployment_scripts\deploy_feature_model_layer_V1.0.py,YES,5212,2026-07-23 18:57:31.565573,PENDING_REVIEW
