"FullName","CreationTime","LastWriteTime"
"E:\football_v\check_db_tables.py","2026-07-23 10:03:43","2026-07-23 10:03:43"
"E:\football_v\FINAL_FREEZE_REPORT.json","2026-07-23 20:43:07","2026-07-23 20:43:07"
"E:\football_v\00_System_OS\01_DATA_LAYER\database\archive_football_ai_os.db","2026-07-23 18:23:38","2026-07-23 18:18:42"
"E:\football_v\00_System_OS\01_DATA_LAYER\database\football_ai_os.db","2026-07-23 18:48:18","2026-07-23 19:54:08"
"E:\football_v\00_System_OS\01_DATA_LAYER\database\match_data.db","2026-07-23 18:35:48","2026-07-23 18:36:04"
"E:\football_v\00_System_OS\02_FEATURE_LAYER\database\feature_store.db","2026-07-23 18:18:44","2026-07-23 19:00:56"
"E:\football_v\00_System_OS\03_MODEL_LAYER\database\model_store.db","2026-07-23 18:18:44","2026-07-23 19:54:06"
"E:\football_v\00_System_OS\database\football_ai_os.db","2026-07-23 18:12:49","2026-07-23 18:12:52"
"E:\football_v\00_System_OS\documentation\architecture\FOOTBALL_AI_OS_DATABASE_ARCHITECTURE_V2.1_FROZEN.md","2026-07-23 17:51:02","2026-07-23 17:51:02"
"E:\football_v\00_System_OS\documentation\architecture\FOOTBALL_AI_OS_DATABASE_ARCHITECTURE_V2.2_FROZEN.md","2026-07-23 18:54:52","2026-07-23 18:54:52"
"E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_BASELINE_REQUEST.txt","2026-07-23 17:57:18","2026-07-23 17:57:18"
"E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_STARTUP_CHECKLIST_V1.0.md","2026-07-23 17:57:18","2026-07-23 17:57:18"
"E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt","2026-07-23 17:57:18","2026-07-23 17:57:18"
"E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt","2026-07-23 17:57:18","2026-07-23 17:57:18"
"E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_V_CHECKPOINT_SYSTEM_SCAN_V4.0.txt","2026-07-23 18:12:52","2026-07-23 18:12:52"
"E:\football_v\00_SYSTEM_TOOLS\check_database_location_V4.0.py","2026-07-23 15:02:37","2026-07-23 15:02:37"
"E:\football_v\00_SYSTEM_TOOLS\database_location_discovery_V4.0.py","2026-07-23 14:59:39","2026-07-23 14:59:39"
"E:\football_v\00_SYSTEM_TOOLS\data_schema_validation_V4.0.py","2026-07-23 14:58:58","2026-07-23 14:58:58"
"E:\football_v\00_SYSTEM_TOOLS\deploy_training_engine_V4.0.py","2026-07-23 14:44:59","2026-07-23 14:44:59"
"E:\football_v\00_SYSTEM_TOOLS\deploy_training_system_V4.0.py","2026-07-23 14:41:47","2026-07-23 14:41:47"
"E:\football_v\00_SYSTEM_TOOLS\final_system_completion_V4.0.py","2026-07-23 14:37:51","2026-07-23 14:37:51"
"E:\football_v\00_SYSTEM_TOOLS\model_data_snapshot_V4.0.py","2026-07-23 14:51:13","2026-07-23 14:51:13"
"E:\football_v\00_SYSTEM_TOOLS\schema_check_V4.0.py","2026-07-23 14:58:27","2026-07-23 14:58:27"
"E:\football_v\00_SYSTEM_TOOLS\training_preflight_check_V4.0.py","2026-07-23 14:42:44","2026-07-23 14:42:44"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Duplicate_Cleanup_V2.0\duplicate_cleanup_engine_V2.0.py","2026-07-23 13:46:36","2026-07-23 13:46:36"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_cleanup_engine_V3.0.py","2026-07-23 13:57:59","2026-07-23 13:57:59"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_cleanup_engine_V4.0.py","2026-07-23 14:00:27","2026-07-23 14:00:27"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json","2026-07-23 13:14:54","2026-07-23 13:17:41"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry_V1.9.json","2026-07-23 13:36:56","2026-07-23 13:36:56"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_architecture_V1.4.py","2026-07-23 13:24:46","2026-07-23 13:24:46"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_architecture_V1.6.py","2026-07-23 13:34:05","2026-07-23 13:34:05"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_engine_V1.6.py","2026-07-23 13:33:14","2026-07-23 13:33:14"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\create_architecture_merge_tool_V1.0.py","2026-07-23 13:14:54","2026-07-23 13:14:54"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_archive_engine_V1.7.py","2026-07-23 13:34:50","2026-07-23 13:34:50"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_registry.json","2026-07-23 13:14:54","2026-07-23 13:17:41"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_architecture_validator_V1.8.py","2026-07-23 13:36:03","2026-07-23 13:36:03"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_cleanup_engine_V2.1.py","2026-07-23 13:48:49","2026-07-23 13:48:49"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_delete_engine_V1.9.py","2026-07-23 13:36:56","2026-07-23 13:36:56"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_cleanup_V1.3.py","2026-07-23 13:23:00","2026-07-23 13:23:00"
